response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000004,35-44,Male,Kalba,Employee,qr_survey,No simple ordering system for farms,Farm product marketplace,Agriculture,High,Use WhatsApp groups,Dissatisfied,Yes,31-50 AED,Very urgent,Monthly,In-person service,People would buy more local produce if ordering was easier.,2026-05-17,high,dissatisfied,yes,very urgent,monthly,31-50 aed,5,2,1.0,5,2,40,4,No simple ordering system for farms. Farm product marketplace. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000006,25-34,Female,Khor Fakkan Outskirts,Homemaker,voice_note,Lack of farm marketing,Weekly farm box service,Agriculture,High,Use WhatsApp groups,Dissatisfied,Maybe,10-30 AED,Soon,Weekly,WhatsApp,A WhatsApp ordering system for local farms would be useful.,2026-05-07,high,dissatisfied,maybe,soon,weekly,10-30 aed,5,2,0.5,3,3,20,4,Lack of farm marketing. Weekly farm box service. Use WhatsApp groups. A WhatsApp ordering system for local farms would be useful.
R000007,25-34,Prefer Not To Say,Kalba,Teacher,interview,No simple ordering system for farms,Weekly farm box service,Agriculture,Medium,Use WhatsApp groups,Very dissatisfied,Maybe,31-50 AED,Soon,Weekly,In-person service,Small farms need a simple way to sell dates and vegetables directly to customers.,2026-04-01,medium,very dissatisfied,maybe,soon,weekly,31-50 aed,3,1,0.5,3,3,40,5,No simple ordering system for farms. Weekly farm box service. Use WhatsApp groups. Small farms need a simple way to sell dates and vegetables directly to customers.
R000011,25-34,Male,Dibba,Shop Owner,shop_owner_note,Lack of farm marketing,Farm-to-home ordering,Agriculture,High,Use WhatsApp groups,Dissatisfied,Yes,51-100 AED,Not urgent,Weekly,Delivery service,People would buy more local produce if ordering was easier.,2026-05-27,high,dissatisfied,yes,not urgent,weekly,51-100 aed,5,2,1.0,1,3,75,4,Lack of farm marketing. Farm-to-home ordering. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000015,45-54,Female,Masfout,Shop Owner,voice_note,No simple ordering system for farms,Weekly farm box service,Agriculture,Low,Sell through relatives,Satisfied,Yes,31-50 AED,Soon,Weekly,Website,A WhatsApp ordering system for local farms would be useful.,2026-04-14,low,satisfied,yes,soon,weekly,31-50 aed,1,4,1.0,3,3,40,2,No simple ordering system for farms. Weekly farm box service. Sell through relatives. A WhatsApp ordering system for local farms would be useful.
R000026,35-44,Male,Ghayathi,Teacher,interview,No simple ordering system for farms,Local produce delivery,Agriculture,High,Use WhatsApp groups,Dissatisfied,No,0 AED,Soon,Weekly,In-person service,People would buy more local produce if ordering was easier.,2026-05-24,high,dissatisfied,no,soon,weekly,0 aed,5,2,0.0,3,3,0,4,No simple ordering system for farms. Local produce delivery. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000029,25-34,Female,Hatta,Farmer,paper_form,No simple ordering system for farms,Weekly farm box service,Agriculture,High,Sell at local market,Satisfied,Yes,31-50 AED,Not urgent,Weekly,Phone call,Farmers depend too much on word of mouth.,2026-05-19,high,satisfied,yes,not urgent,weekly,31-50 aed,5,4,1.0,1,3,40,2,No simple ordering system for farms. Weekly farm box service. Sell at local market. Farmers depend too much on word of mouth.
R000031,35-44,Prefer Not To Say,Kalba,Employee,interview,Low visibility for local produce,Weekly farm box service,Agriculture,High,Sell through relatives,Very dissatisfied,Yes,31-50 AED,Soon,Weekly,Community center,A WhatsApp ordering system for local farms would be useful.,2026-03-28,high,very dissatisfied,yes,soon,weekly,31-50 aed,5,1,1.0,3,3,40,5,Low visibility for local produce. Weekly farm box service. Sell through relatives. A WhatsApp ordering system for local farms would be useful.
R000041,18-24,Male,Dibba,Homemaker,qr_survey,Farmers struggle to sell directly,Weekly farm box service,Agriculture,High,Sell through relatives,Dissatisfied,Yes,31-50 AED,Very urgent,Daily,In-person service,People would buy more local produce if ordering was easier.,2026-05-24,high,dissatisfied,yes,very urgent,daily,31-50 aed,5,2,1.0,5,4,40,4,Farmers struggle to sell directly. Weekly farm box service. Sell through relatives. People would buy more local produce if ordering was easier.
R000050,25-34,Prefer Not To Say,Ghayathi,Retired,voice_note,Low visibility for local produce,Farm product marketplace,Agriculture,High,Sell through relatives,Very satisfied,Maybe,10-30 AED,Soon,Daily,Delivery service,People would buy more local produce if ordering was easier.,2026-05-21,high,very satisfied,maybe,soon,daily,10-30 aed,5,5,0.5,3,4,20,1,Low visibility for local produce. Farm product marketplace. Sell through relatives. People would buy more local produce if ordering was easier.
R000056,45-54,Prefer Not To Say,Dibba,Farmer,interview,Lack of farm marketing,Weekly farm box service,Agriculture,Medium,Sell at local market,Satisfied,Maybe,100+ AED,Soon,Weekly,Community center,Farmers depend too much on word of mouth.,2026-05-03,medium,satisfied,maybe,soon,weekly,100+ aed,3,4,0.5,3,3,120,2,Lack of farm marketing. Weekly farm box service. Sell at local market. Farmers depend too much on word of mouth.
R000058,55+,Male,Kalba,Employee,interview,Low visibility for local produce,Farm-to-home ordering,Agriculture,Medium,Use WhatsApp groups,Neutral,Maybe,31-50 AED,Soon,Daily,Delivery service,People would buy more local produce if ordering was easier.,2026-05-07,medium,neutral,maybe,soon,daily,31-50 aed,3,3,0.5,3,4,40,3,Low visibility for local produce. Farm-to-home ordering. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000061,25-34,Female,Masfout,Unemployed,qr_survey,Farmers struggle to sell directly,Local produce delivery,Agriculture,Medium,Use WhatsApp groups,Very satisfied,Maybe,51-100 AED,Soon,Daily,Community center,A WhatsApp ordering system for local farms would be useful.,2026-04-05,medium,very satisfied,maybe,soon,daily,51-100 aed,3,5,0.5,3,4,75,1,Farmers struggle to sell directly. Local produce delivery. Use WhatsApp groups. A WhatsApp ordering system for local farms would be useful.
R000062,35-44,Male,Kalba,Retired,voice_note,Lack of farm marketing,Local produce delivery,Agriculture,Medium,Sell through relatives,Very dissatisfied,Yes,31-50 AED,Very urgent,Rarely,Mobile app,A WhatsApp ordering system for local farms would be useful.,2026-04-24,medium,very dissatisfied,yes,very urgent,rarely,31-50 aed,3,1,1.0,5,1,40,5,Lack of farm marketing. Local produce delivery. Sell through relatives. A WhatsApp ordering system for local farms would be useful.
R000065,35-44,Prefer Not To Say,Liwa,Employee,qr_survey,Lack of farm marketing,Local produce delivery,Agriculture,High,Use WhatsApp groups,Satisfied,Yes,31-50 AED,Soon,Weekly,In-person service,People would buy more local produce if ordering was easier.,2026-05-06,high,satisfied,yes,soon,weekly,31-50 aed,5,4,1.0,3,3,40,2,Lack of farm marketing. Local produce delivery. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000069,45-54,Prefer Not To Say,Ras Al Khaimah Rural Area,Retired,voice_note,Lack of farm marketing,Weekly farm box service,Agriculture,Medium,No clear solution,Dissatisfied,Maybe,0 AED,Soon,Daily,Community center,A WhatsApp ordering system for local farms would be useful.,2026-04-11,medium,dissatisfied,maybe,soon,daily,0 aed,3,2,0.5,3,4,0,4,Lack of farm marketing. Weekly farm box service. No clear solution. A WhatsApp ordering system for local farms would be useful.
R000087,18-24,Prefer Not To Say,Hatta,Small Business Owner,shop_owner_note,Lack of farm marketing,Local produce delivery,Agriculture,High,Use WhatsApp groups,Very dissatisfied,Maybe,31-50 AED,Soon,Rarely,Website,Small farms need a simple way to sell dates and vegetables directly to customers.,2026-04-24,high,very dissatisfied,maybe,soon,rarely,31-50 aed,5,1,0.5,3,1,40,5,Lack of farm marketing. Local produce delivery. Use WhatsApp groups. Small farms need a simple way to sell dates and vegetables directly to customers.
R000088,35-44,Prefer Not To Say,Al Ain Outskirts,Tourism Worker,voice_note,No simple ordering system for farms,Local produce delivery,Agriculture,Medium,Use WhatsApp groups,Neutral,Maybe,10-30 AED,Very urgent,Weekly,In-person service,People would buy more local produce if ordering was easier.,2026-06-11,medium,neutral,maybe,very urgent,weekly,10-30 aed,3,3,0.5,5,3,20,3,No simple ordering system for farms. Local produce delivery. Use WhatsApp groups. People would buy more local produce if ordering was easier.
R000096,18-24,Female,Al Madam,Unemployed,voice_note,Farmers struggle to sell directly,Weekly farm box service,Agriculture,Low,No clear solution,Dissatisfied,Yes,31-50 AED,Soon,Weekly,Mobile app,Farmers depend too much on word of mouth.,2026-05-28,low,dissatisfied,yes,soon,weekly,31-50 aed,1,2,1.0,3,3,40,4,Farmers struggle to sell directly. Weekly farm box service. No clear solution. Farmers depend too much on word of mouth.
R000099,55+,Male,Dibba,Teacher,voice_note,Farmers struggle to sell directly,Farm product marketplace,Agriculture,Medium,Sell through relatives,Very dissatisfied,Yes,100+ AED,Very urgent,Monthly,Phone call,Small farms need a simple way to sell dates and vegetables directly to customers.,2026-06-26,medium,very dissatisfied,yes,very urgent,monthly,100+ aed,3,1,1.0,5,2,120,5,Farmers struggle to sell directly. Farm product marketplace. Sell through relatives. Small farms need a simple way to sell dates and vegetables directly to customers.
R000110,18-24,Male,Masfout,Driver,interview,No simple ordering system for farms,Weekly farm box service,Agriculture,Low,Sell through relatives,Very dissatisfied,Yes,51-100 AED,Soon,Daily,Phone call,A WhatsApp ordering system for local farms would be useful.,2026-04-13,low,very dissatisfied,yes,soon,daily,51-100 aed,1,1,1.0,3,4,75,5,No simple ordering system for farms. Weekly farm box service. Sell through relatives. A WhatsApp ordering system for local farms would be useful.
R000113,18-24,Female,Ghayathi,Retired,interview,Lack of farm marketing,Farm product marketplace,Agriculture,High,No clear solution,Neutral,Yes,10-30 AED,Soon,Daily,Delivery service,Farmers depend too much on word of mouth.,2026-05-26,high,neutral,yes,soon,daily,10-30 aed,5,3,1.0,3,4,20,3,Lack of farm marketing. Farm product marketplace. No clear solution. Farmers depend too much on word of mouth.
R000116,45-54,Prefer Not To Say,Liwa,Retired,voice_note,No simple ordering system for farms,Local produce delivery,Agriculture,Low,Sell at local market,Neutral,Maybe,51-100 AED,Not urgent,Weekly,Mobile app,Farmers depend too much on word of mouth.,2026-04-03,low,neutral,maybe,not urgent,weekly,51-100 aed,1,3,0.5,1,3,75,3,No simple ordering system for farms. Local produce delivery. Sell at local market. Farmers depend too much on word of mouth.
R000117,35-44,Female,Al Madam,Teacher,voice_note,Farmers struggle to sell directly,Farm-to-home ordering,Agriculture,High,Sell at local market,Satisfied,Maybe,10-30 AED,Not urgent,Weekly,In-person service,People would buy more local produce if ordering was easier.,2026-04-12,high,satisfied,maybe,not urgent,weekly,10-30 aed,5,4,0.5,1,3,20,2,Farmers struggle to sell directly. Farm-to-home ordering. Sell at local market. People would buy more local produce if ordering was easier.
R000121,35-44,Prefer Not To Say,Liwa,Homemaker,paper_form,No simple ordering system for farms,Local produce delivery,Agriculture,High,No clear solution,Dissatisfied,Maybe,10-30 AED,Very urgent,Monthly,Website,Small farms need a simple way to sell dates and vegetables directly to customers.,2026-06-18,high,dissatisfied,maybe,very urgent,monthly,10-30 aed,5,2,0.5,5,2,20,4,No simple ordering system for farms. Local produce delivery. No clear solution. Small farms need a simple way to sell dates and vegetables directly to customers.
R000148,25-34,Prefer Not To Say,Khor Fakkan Outskirts,Farmer,paper_form,Lack of farm marketing,Farm product marketplace,Agriculture,Medium,Sell at local market,Dissatisfied,No,0 AED,Very urgent,Weekly,WhatsApp,People would buy more local produce if ordering was easier.,2026-06-22,medium,dissatisfied,no,very urgent,weekly,0 aed,3,2,0.0,5,3,0,4,Lack of farm marketing. Farm product marketplace. Sell at local market. People would buy more local produce if ordering was easier.
R000161,45-54,Female,Ghayathi,Small Business Owner,qr_survey,Low visibility for local produce,Local produce delivery,Agriculture,Low,No clear solution,Neutral,Yes,10-30 AED,Soon,Monthly,Mobile app,A WhatsApp ordering system for local farms would be useful.,2026-05-14,low,neutral,yes,soon,monthly,10-30 aed,1,3,1.0,3,2,20,3,Low visibility for local produce. Local produce delivery. No clear solution. A WhatsApp ordering system for local farms would be useful.
