response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
DEMO_R0002,25-34,prefer not to say,Al Ain outskirts,camel farm owner,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,4,daily,SMS updates,251-500 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-06-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,4.0,daily,251-500 aed,4,375,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.. same-day mobile camel vet booking. A WhatsApp booking service for camel vets would help farm families avoid long delays.
DEMO_R0005,18-24,male,Al Qua'a,camel farm worker,government information,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,4,weekly,web dashboard,0-50 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-05-13,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,4.0,weekly,0-50 aed,3,25,"Farmers cannot easily compare camel feed suppliers or veterinary costs.. camel feed and vet price comparison. A simple comparison tool for feed, vet visits, and medicine could reduce farm costs."
DEMO_R0022,55-64,prefer not to say,Al Qua'a,teacher,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,5,daily,WhatsApp bot,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-04-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,5.0,daily,101-250 aed,4,175,Livestock medicine is not always easy to access without travelling to Al Ain city.. livestock medicine delivery. A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.
DEMO_R0033,18-24,female,Al Ain outskirts,camel farm worker,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,4,monthly,web dashboard,51-100 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-06-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,4.0,monthly,51-100 aed,2,75,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.. same-day mobile camel vet booking. A WhatsApp booking service for camel vets would help farm families avoid long delays.
DEMO_R0034,35-44,male,Al Qua'a,livestock supplier,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,4,monthly,mobile app,101-250 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-04-23,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,4.0,monthly,101-250 aed,2,175,Livestock medicine is not always easy to access without travelling to Al Ain city.. livestock medicine delivery. A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.
DEMO_R0035,45-54,male,Al Qua'a,camel farm owner,survey,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,5,monthly,volunteer-assisted form,251-500 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-06-02,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,5.0,monthly,251-500 aed,2,375,"Farmers cannot easily compare camel feed suppliers or veterinary costs.. camel feed and vet price comparison. A simple comparison tool for feed, vet visits, and medicine could reduce farm costs."
DEMO_R0040,18-24,female,Hatta,student,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,5,daily,in-person kiosk,101-250 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-05-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,5.0,daily,101-250 aed,4,175,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.. same-day mobile camel vet booking. A WhatsApp booking service for camel vets would help farm families avoid long delays.
DEMO_R0041,18-24,female,Al Qua'a,healthcare worker,volunteer,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,5,monthly,phone call service,101-250 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-06-12,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,5.0,monthly,101-250 aed,2,175,"Farmers cannot easily compare camel feed suppliers or veterinary costs.. camel feed and vet price comparison. A simple comparison tool for feed, vet visits, and medicine could reduce farm costs."
DEMO_R0044,55-64,male,Al Qua'a,date farmer,volunteer,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,Veterinary & Camel Care,3,monthly,in-person kiosk,0-50 AED,A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.,2026-05-06,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,3.0,monthly,0-50 aed,2,25,Livestock medicine is not always easy to access without travelling to Al Ain city.. livestock medicine delivery. A trusted medicine delivery route from Al Ain to Al Qua'a farms would save time.
DEMO_R0050,18-24,prefer not to say,Masfout,camel farm worker,volunteer,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,3,monthly,SMS updates,51-100 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-03-30,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo,3.0,monthly,51-100 aed,2,75,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.. same-day mobile camel vet booking. A WhatsApp booking service for camel vets would help farm families avoid long delays.
