region,service_category,response_count,avg_importance,avg_frequency,avg_budget_aed,avg_sentiment,top_occupation,top_age_group,common_solution_type,local_need_score,local_priority
Al Madam,Rural Transport,17,3.4705882352941178,3.117647058823529,62.94117647058823,0.6,farmer,25-34,SMS,80.33,High priority
Al Madam,Connectivity,4,4.5,2.25,88.75,0.5,retired,45-54,Mobile app,61.21,Medium priority
Al Madam,Mobile Healthcare,7,3.857142857142857,2.7142857142857144,62.85714285714285,0.6,farmer,18-24,Community center,60.97,Medium priority
Al Madam,Employment,2,5.0,3.0,0.0,0.6,farmer,45-54,Community center,45.62,Low priority
Al Sila,Rural Transport,13,4.384615384615385,2.5384615384615383,41.53846153846154,0.6,retired,35-44,Community center,69.19,Medium priority
Al Sila,Employment,5,4.2,3.4,87.0,0.6,driver,35-44,Website,68.39,Medium priority
Al Sila,Connectivity,5,3.0,3.0,31.0,0.5,driver,35-44,Community center,47.89,Low priority
Al Sila,Mobile Healthcare,2,2.0,3.0,80.0,0.6,student,25-34,SMS,47.77,Low priority
Delma Island,Rural Transport,9,4.111111111111111,3.2222222222222223,65.55555555555556,0.6,teacher,18-24,SMS,69.74,Medium priority
Delma Island,Connectivity,4,5.0,3.0,40.0,0.5,student,25-34,Community center,57.95,Medium priority
Delma Island,Employment,5,3.4,2.6,77.0,0.6,homemaker,35-44,Mobile app,57.25,Medium priority
Delma Island,Mobile Healthcare,2,4.0,4.0,0.0,0.6,retired,35-44,Website,46.88,Low priority
Ghayathi,Mobile Healthcare,9,4.111111111111111,2.888888888888889,73.88888888888889,0.6,farmer,25-34,SMS,69.44,Medium priority
Ghayathi,Employment,5,4.2,3.8,62.0,0.6,farmer,35-44,SMS,65.54,Medium priority
Ghayathi,Rural Transport,3,4.333333333333333,3.0,93.33333333333331,0.6,retired,18-24,SMS,64.17,Medium priority
Ghayathi,Connectivity,3,3.0,3.333333333333333,90.0,0.5,retired,35-44,Website,58.87,Medium priority
Hatta,Connectivity,7,3.571428571428572,3.2857142857142856,71.42857142857143,0.5,shop owner,18-24,Website,64.95,Medium priority
Hatta,Rural Transport,8,3.25,2.625,64.375,0.6,shop owner,45-54,Website,59.58,Medium priority
Hatta,Mobile Healthcare,3,5.0,2.333333333333333,63.333333333333336,0.6,driver,18-24,Website,56.9,Medium priority
Hatta,Employment,1,3.0,4.0,40.0,0.6,shop owner,25-34,Website,48.57,Low priority
Liwa,Rural Transport,5,3.8,3.4,55.0,0.6,teacher,55+,Community center,59.54,Medium priority
Liwa,Connectivity,3,5.0,3.333333333333333,40.0,0.5,student,35-44,SMS,58.15,Medium priority
Liwa,Mobile Healthcare,2,4.0,2.0,75.0,0.6,student,45-54,Website,50.45,Low priority
Liwa,Employment,2,4.0,3.5,20.0,0.6,homemaker,35-44,Community center,48.04,Low priority
Masafi,Rural Transport,10,3.4,3.2,51.5,0.6,teacher,25-34,Mobile app,64.91,Medium priority
Masafi,Mobile Healthcare,6,4.666666666666667,2.6666666666666665,71.66666666666667,0.6,farmer,18-24,SMS,64.73,Medium priority
Masafi,Connectivity,6,3.6666666666666665,2.5,25.83333333333333,0.5,teacher,55+,Community center,48.87,Low priority
Masafi,Employment,2,4.0,2.0,57.5,0.6,homemaker,18-24,Mobile app,46.7,Low priority
