response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000004,35-44,Female,Al Madam,Farmer,qr_survey,Poor internet,Telemedicine,Healthcare,Low,Travel to city,Dissatisfied,Maybe,31-50 AED,Low,Monthly,Website,Internet access should be more reliable.,2026-06-07,low,dissatisfied,maybe,low,monthly,31-50 aed,1,2,0.5,1.0,2,40.0,4,Poor internet. Telemedicine. Travel to city. Internet access should be more reliable.
R000017,55+,Male,Liwa,Teacher,mobile_app,Poor internet,Telemedicine,Healthcare,High,Do it myself,Neutral,No,31-50 AED,Urgent,Daily,Hotline,Internet access should be more reliable.,2026-06-03,high,neutral,no,urgent,daily,31-50 aed,5,3,0.0,1.0,4,40.0,3,Poor internet. Telemedicine. Do it myself. Internet access should be more reliable.
R000019,35-44,Female,Al Madam,Teacher,mobile_app,Poor internet,Telemedicine,Healthcare,Medium,Ask relatives,Satisfied,Yes,0-30 AED,Moderate,Weekly,Mobile app,Internet access should be more reliable.,2026-06-02,medium,satisfied,yes,moderate,weekly,0-30 aed,3,4,1.0,1.0,3,0.0,2,Poor internet. Telemedicine. Ask relatives. Internet access should be more reliable.
R000026,55+,Female,Masafi,Farmer,qr_survey,Poor internet,Telemedicine,Healthcare,Low,Do it myself,Satisfied,Yes,31-50 AED,Moderate,Monthly,Hotline,Internet access should be more reliable.,2026-06-06,low,satisfied,yes,moderate,monthly,31-50 aed,1,4,1.0,1.0,2,40.0,2,Poor internet. Telemedicine. Do it myself. Internet access should be more reliable.
R000029,55+,Female,Hatta,Homemaker,qr_survey,Poor internet,Telemedicine,Healthcare,High,Travel to city,Neutral,Yes,31-50 AED,Low,Daily,Hotline,Internet access should be more reliable.,2026-06-10,high,neutral,yes,low,daily,31-50 aed,5,3,1.0,1.0,4,40.0,3,Poor internet. Telemedicine. Travel to city. Internet access should be more reliable.
R000030,35-44,Female,Hatta,Farmer,qr_survey,Poor internet,Telemedicine,Healthcare,High,Travel to city,Dissatisfied,No,51-100 AED,Very urgent,Monthly,Hotline,Internet access should be more reliable.,2026-06-20,high,dissatisfied,no,very urgent,monthly,51-100 aed,5,2,0.0,5.0,2,75.0,4,Poor internet. Telemedicine. Travel to city. Internet access should be more reliable.
R000040,55+,Female,Liwa,Homemaker,mobile_app,Poor internet,Telemedicine,Healthcare,Medium,Wait longer,Neutral,Maybe,31-50 AED,Low,Weekly,Mobile app,Internet access should be more reliable.,2026-06-02,medium,neutral,maybe,low,weekly,31-50 aed,3,3,0.5,1.0,3,40.0,3,Poor internet. Telemedicine. Wait longer. Internet access should be more reliable.
R000055,55+,Female,Al Madam,Driver,mobile_app,Poor internet,Telemedicine,Healthcare,Medium,Do it myself,Dissatisfied,Yes,0-30 AED,Very urgent,Weekly,Mobile app,Internet access should be more reliable.,2026-06-27,medium,dissatisfied,yes,very urgent,weekly,0-30 aed,3,2,1.0,5.0,3,0.0,4,Poor internet. Telemedicine. Do it myself. Internet access should be more reliable.
R000057,35-44,Female,Hatta,Shop Owner,field_interview,Poor internet,Telemedicine,Healthcare,Medium,Ask relatives,Dissatisfied,Yes,0-30 AED,Urgent,Monthly,Website,Internet access should be more reliable.,2026-06-10,medium,dissatisfied,yes,urgent,monthly,0-30 aed,3,2,1.0,1.0,2,0.0,4,Poor internet. Telemedicine. Ask relatives. Internet access should be more reliable.
R000058,55+,Male,Al Madam,Teacher,mobile_app,Poor internet,Telemedicine,Healthcare,Low,Ask relatives,Satisfied,Yes,31-50 AED,Very urgent,Monthly,Hotline,Internet access should be more reliable.,2026-06-04,low,satisfied,yes,very urgent,monthly,31-50 aed,1,4,1.0,5.0,2,40.0,2,Poor internet. Telemedicine. Ask relatives. Internet access should be more reliable.
R000063,55+,Male,Hatta,Teacher,qr_survey,Poor internet,Telemedicine,Healthcare,High,Ask relatives,Satisfied,Maybe,0-30 AED,Very urgent,Weekly,Community center,Internet access should be more reliable.,2026-06-01,high,satisfied,maybe,very urgent,weekly,0-30 aed,5,4,0.5,5.0,3,0.0,2,Poor internet. Telemedicine. Ask relatives. Internet access should be more reliable.
R000070,18-24,Male,Liwa,Driver,qr_survey,Poor internet,Telemedicine,Healthcare,Low,Do it myself,Satisfied,No,51-100 AED,Low,Weekly,Community center,Internet access should be more reliable.,2026-06-20,low,satisfied,no,low,weekly,51-100 aed,1,4,0.0,1.0,3,75.0,2,Poor internet. Telemedicine. Do it myself. Internet access should be more reliable.
R000072,35-44,Male,Masafi,Teacher,field_interview,Poor internet,Telemedicine,Healthcare,High,Wait longer,Neutral,Yes,0-30 AED,Urgent,Weekly,Mobile app,Internet access should be more reliable.,2026-06-20,high,neutral,yes,urgent,weekly,0-30 aed,5,3,1.0,1.0,3,0.0,3,Poor internet. Telemedicine. Wait longer. Internet access should be more reliable.
R000077,35-44,Male,Liwa,Farmer,qr_survey,Poor internet,Telemedicine,Healthcare,Medium,Travel to city,Dissatisfied,Maybe,0-30 AED,Very urgent,Weekly,Mobile app,Internet access should be more reliable.,2026-06-18,medium,dissatisfied,maybe,very urgent,weekly,0-30 aed,3,2,0.5,5.0,3,0.0,4,Poor internet. Telemedicine. Travel to city. Internet access should be more reliable.
R000079,25-34,Female,Masafi,Shop Owner,field_interview,Poor internet,Telemedicine,Healthcare,High,Travel to city,Dissatisfied,No,51-100 AED,Moderate,Weekly,Hotline,Internet access should be more reliable.,2026-06-21,high,dissatisfied,no,moderate,weekly,51-100 aed,5,2,0.0,1.0,3,75.0,4,Poor internet. Telemedicine. Travel to city. Internet access should be more reliable.
