response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000101,18-24,female,Hatta,teacher,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,daily,Website,51-100 AED,Internet access should be more reliable.,2026-06-06,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000102,35-44,male,Al Sila,farmer,field_interview,Poor internet,Internet upgrade,Connectivity,1.0,weekly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000103,25-34,male,Delma Island,student,mobile_app,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-28,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000104,18-24,male,Delma Island,farmer,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Mobile app,31-50 AED,We need better transport options.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000105,55+,female,Al Madam,teacher,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,SMS,0-30 AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000106,25-34,male,Al Madam,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-17,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000107,45-54,male,Hatta,homemaker,community_event,Delivery is slow,Grocery delivery,Rural Transport,1.0,weekly,Website,100+ AED,We need faster grocery delivery in our area.,2026-06-21,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000108,18-24,male,Al Sila,teacher,qr_survey,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,31-50 AED,Internet access should be more reliable.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000109,18-24,female,Hatta,shop owner,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,weekly,SMS,51-100 AED,Internet access should be more reliable.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000110,55+,female,Al Madam,homemaker,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,Website,0-30 AED,We need faster grocery delivery in our area.,2026-06-10,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
