response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000002,45-54,Female,Liwa,Employee,voice_note,Students need exam preparation,Exam preparation center,Education,High,Private tutor,Neutral,Yes,51-100 AED,Soon,Weekly,Mobile app,Online videos are not enough for some students.,2026-06-07,high,neutral,yes,soon,weekly,51-100 aed,5,3,1.0,3,3,75,3,Students need exam preparation. Exam preparation center. Private tutor. Online videos are not enough for some students.
R000009,45-54,Prefer Not To Say,Dibba,Teacher,voice_note,Limited after-school support,English and math tutoring,Education,Low,Travel to city,Neutral,No,0 AED,Soon,Daily,Delivery service,"Many students need affordable tutoring nearby, especially for math and English.",2026-05-09,low,neutral,no,soon,daily,0 aed,1,3,0.0,3,4,0,3,"Limited after-school support. English and math tutoring. Travel to city. Many students need affordable tutoring nearby, especially for math and English."
R000019,45-54,Prefer Not To Say,Khor Fakkan Outskirts,Student,qr_survey,Lack of affordable learning support,Student tutoring,Education,High,Ask relatives,Dissatisfied,Yes,31-50 AED,Very urgent,Weekly,Phone call,A small learning center would help students after school.,2026-05-19,high,dissatisfied,yes,very urgent,weekly,31-50 aed,5,2,1.0,5,3,40,4,Lack of affordable learning support. Student tutoring. Ask relatives. A small learning center would help students after school.
R000022,35-44,Prefer Not To Say,Dibba,Unemployed,shop_owner_note,Limited after-school support,Exam preparation center,Education,Medium,Online videos,Dissatisfied,Maybe,0 AED,Soon,Daily,In-person service,"Many students need affordable tutoring nearby, especially for math and English.",2026-05-22,medium,dissatisfied,maybe,soon,daily,0 aed,3,2,0.5,3,4,0,4,"Limited after-school support. Exam preparation center. Online videos. Many students need affordable tutoring nearby, especially for math and English."
R000023,55+,Male,Ras Al Khaimah Rural Area,Small Business Owner,qr_survey,No nearby tutoring center,Exam preparation center,Education,Medium,Online videos,Dissatisfied,Yes,31-50 AED,Not urgent,Monthly,Community center,Parents travel far to find good tutoring centers.,2026-04-10,medium,dissatisfied,yes,not urgent,monthly,31-50 aed,3,2,1.0,1,2,40,4,No nearby tutoring center. Exam preparation center. Online videos. Parents travel far to find good tutoring centers.
R000030,25-34,Prefer Not To Say,Ras Al Khaimah Rural Area,Farmer,qr_survey,Students need exam preparation,English and math tutoring,Education,Medium,Private tutor,Neutral,Yes,10-30 AED,Soon,Weekly,WhatsApp,"Many students need affordable tutoring nearby, especially for math and English.",2026-05-31,medium,neutral,yes,soon,weekly,10-30 aed,3,3,1.0,3,3,20,3,"Students need exam preparation. English and math tutoring. Private tutor. Many students need affordable tutoring nearby, especially for math and English."
R000036,25-34,Male,Masfout,Driver,voice_note,No nearby tutoring center,Student tutoring,Education,Medium,Private tutor,Satisfied,No,0 AED,Soon,Monthly,WhatsApp,Parents travel far to find good tutoring centers.,2026-06-08,medium,satisfied,no,soon,monthly,0 aed,3,4,0.0,3,2,0,2,No nearby tutoring center. Student tutoring. Private tutor. Parents travel far to find good tutoring centers.
R000039,45-54,Female,Ghayathi,Teacher,interview,Lack of affordable learning support,After-school learning support,Education,High,Online videos,Very dissatisfied,Yes,31-50 AED,Soon,Weekly,Phone call,Parents travel far to find good tutoring centers.,2026-05-10,high,very dissatisfied,yes,soon,weekly,31-50 aed,5,1,1.0,3,3,40,5,Lack of affordable learning support. After-school learning support. Online videos. Parents travel far to find good tutoring centers.
R000040,45-54,Female,Ghayathi,Homemaker,shop_owner_note,Students need exam preparation,English and math tutoring,Education,Medium,Private tutor,Satisfied,Yes,100+ AED,Soon,Rarely,Phone call,Parents travel far to find good tutoring centers.,2026-05-10,medium,satisfied,yes,soon,rarely,100+ aed,3,4,1.0,3,1,120,2,Students need exam preparation. English and math tutoring. Private tutor. Parents travel far to find good tutoring centers.
R000043,45-54,Female,Khor Fakkan Outskirts,Farmer,shop_owner_note,No nearby tutoring center,English and math tutoring,Education,Medium,Travel to city,Neutral,No,0 AED,Soon,Daily,Phone call,A small learning center would help students after school.,2026-04-02,medium,neutral,no,soon,daily,0 aed,3,3,0.0,3,4,0,3,No nearby tutoring center. English and math tutoring. Travel to city. A small learning center would help students after school.
