response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000124,45-54,male,Delma Island,homemaker,field_interview,Few job opportunities,Job platform,Employment,5.0,monthly,SMS,51-100 AED,More local job opportunities are needed.,2026-06-09,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000128,35-44,male,Ghayathi,farmer,community_event,Few job opportunities,Job platform,Employment,5.0,daily,Community center,51-100 AED,More local job opportunities are needed.,2026-06-21,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000130,18-24,female,Masafi,homemaker,qr_survey,Few job opportunities,Job platform,Employment,5.0,monthly,Mobile app,31-50 AED,More local job opportunities are needed.,2026-06-22,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000133,35-44,female,Al Sila,homemaker,field_interview,Few job opportunities,Job platform,Employment,5.0,daily,Mobile app,100+ AED,More local job opportunities are needed.,2026-06-16,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000136,35-44,female,Ghayathi,student,mobile_app,Few job opportunities,Job platform,Employment,3.0,daily,SMS,31-50 AED,More local job opportunities are needed.,2026-06-17,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000137,45-54,male,Al Madam,farmer,community_event,Few job opportunities,Job platform,Employment,5.0,daily,Community center,0-30 AED,More local job opportunities are needed.,2026-06-19,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000149,35-44,male,Al Sila,driver,mobile_app,Few job opportunities,Job platform,Employment,3.0,weekly,SMS,100+ AED,More local job opportunities are needed.,2026-06-27,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000171,45-54,female,Ghayathi,farmer,field_interview,Few job opportunities,Job platform,Employment,5.0,weekly,Mobile app,0-30 AED,More local job opportunities are needed.,2026-06-23,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000172,35-44,female,Liwa,homemaker,mobile_app,Few job opportunities,Job platform,Employment,3.0,weekly,Community center,0-30 AED,More local job opportunities are needed.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000183,18-24,female,Delma Island,farmer,field_interview,Few job opportunities,Job platform,Employment,3.0,weekly,Mobile app,51-100 AED,More local job opportunities are needed.,2026-06-01,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000190,35-44,male,Delma Island,teacher,mobile_app,Few job opportunities,Job platform,Employment,1.0,monthly,Community center,31-50 AED,More local job opportunities are needed.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,monthly,31-50 aed,2,40.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000193,35-44,male,Al Sila,driver,qr_survey,Few job opportunities,Job platform,Employment,5.0,daily,Website,100+ AED,More local job opportunities are needed.,2026-06-18,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000202,45-54,male,Liwa,shop owner,qr_survey,Few job opportunities,Job platform,Employment,5.0,daily,Mobile app,31-50 AED,More local job opportunities are needed.,2026-06-21,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000203,35-44,female,Ghayathi,shop owner,qr_survey,Few job opportunities,Job platform,Employment,3.0,daily,SMS,100+ AED,More local job opportunities are needed.,2026-06-12,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,100+ aed,4,120.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000205,45-54,male,Al Madam,homemaker,mobile_app,Few job opportunities,Job platform,Employment,5.0,monthly,Mobile app,0-30 AED,More local job opportunities are needed.,2026-06-13,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000209,35-44,male,Delma Island,student,community_event,Few job opportunities,Job platform,Employment,3.0,daily,Community center,100+ AED,More local job opportunities are needed.,2026-06-23,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,100+ aed,4,120.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000222,25-34,female,Delma Island,shop owner,mobile_app,Few job opportunities,Job platform,Employment,5.0,monthly,Mobile app,51-100 AED,More local job opportunities are needed.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000225,45-54,male,Al Sila,retired,field_interview,Few job opportunities,Job platform,Employment,5.0,weekly,Website,51-100 AED,More local job opportunities are needed.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000231,18-24,male,Ghayathi,teacher,field_interview,Few job opportunities,Job platform,Employment,5.0,daily,Mobile app,51-100 AED,More local job opportunities are needed.,2026-06-18,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000232,55+,female,Masafi,homemaker,community_event,Few job opportunities,Job platform,Employment,3.0,monthly,Community center,51-100 AED,More local job opportunities are needed.,2026-06-28,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000242,55+,female,Al Sila,student,mobile_app,Few job opportunities,Job platform,Employment,3.0,weekly,Community center,0-30 AED,More local job opportunities are needed.,2026-06-04,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Few job opportunities. Job platform. More local job opportunities are needed.
R000245,25-34,female,Hatta,shop owner,field_interview,Few job opportunities,Job platform,Employment,3.0,daily,Website,31-50 AED,More local job opportunities are needed.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Few job opportunities. Job platform. More local job opportunities are needed.
