response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000001,25-34,Male,Hatta,Driver,field_interview,Public transport is limited,Bus service,Transport,High,Wait longer,Satisfied,Yes,51-100 AED,Very urgent,Weekly,Community center,More local job opportunities are needed.,2026-06-20,high,satisfied,yes,very urgent,weekly,51-100 aed,5,4,1.0,5.0,3,75.0,2,Public transport is limited. Bus service. Wait longer. More local job opportunities are needed.
R000013,45-54,Female,Masafi,Homemaker,field_interview,Public transport is limited,Bus service,Transport,Medium,Travel to city,Satisfied,No,31-50 AED,Low,Weekly,Community center,More local job opportunities are needed.,2026-06-14,medium,satisfied,no,low,weekly,31-50 aed,3,4,0.0,1.0,3,40.0,2,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000021,55+,Female,Liwa,Teacher,mobile_app,Public transport is limited,Bus service,Transport,Low,Ask relatives,Dissatisfied,Maybe,51-100 AED,Low,Monthly,Hotline,More local job opportunities are needed.,2026-06-18,low,dissatisfied,maybe,low,monthly,51-100 aed,1,2,0.5,1.0,2,75.0,4,Public transport is limited. Bus service. Ask relatives. More local job opportunities are needed.
R000033,35-44,Male,Al Sila,Shop Owner,qr_survey,Public transport is limited,Bus service,Transport,High,Travel to city,Satisfied,No,0-30 AED,Low,Daily,Mobile app,More local job opportunities are needed.,2026-06-11,high,satisfied,no,low,daily,0-30 aed,5,4,0.0,1.0,4,0.0,2,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000039,35-44,Male,Masafi,Homemaker,mobile_app,Public transport is limited,Bus service,Transport,Low,Travel to city,Neutral,Maybe,31-50 AED,Very urgent,Daily,Website,More local job opportunities are needed.,2026-06-14,low,neutral,maybe,very urgent,daily,31-50 aed,1,3,0.5,5.0,4,40.0,3,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000042,45-54,Male,Al Madam,Student,mobile_app,Public transport is limited,Bus service,Transport,Low,Travel to city,Neutral,Maybe,31-50 AED,Very urgent,Daily,Website,More local job opportunities are needed.,2026-06-22,low,neutral,maybe,very urgent,daily,31-50 aed,1,3,0.5,5.0,4,40.0,3,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000044,25-34,Male,Hatta,Student,qr_survey,Public transport is limited,Bus service,Transport,Low,Travel to city,Neutral,No,31-50 AED,Urgent,Weekly,Community center,More local job opportunities are needed.,2026-06-03,low,neutral,no,urgent,weekly,31-50 aed,1,3,0.0,1.0,3,40.0,3,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000047,18-24,Female,Masafi,Shop Owner,qr_survey,Public transport is limited,Bus service,Transport,Low,Do it myself,Satisfied,No,0-30 AED,Very urgent,Weekly,Hotline,More local job opportunities are needed.,2026-06-06,low,satisfied,no,very urgent,weekly,0-30 aed,1,4,0.0,5.0,3,0.0,2,Public transport is limited. Bus service. Do it myself. More local job opportunities are needed.
R000049,35-44,Female,Liwa,Teacher,field_interview,Public transport is limited,Bus service,Transport,Medium,Travel to city,Neutral,Yes,0-30 AED,Urgent,Daily,Community center,More local job opportunities are needed.,2026-06-24,medium,neutral,yes,urgent,daily,0-30 aed,3,3,1.0,1.0,4,0.0,3,Public transport is limited. Bus service. Travel to city. More local job opportunities are needed.
R000053,35-44,Female,Al Sila,Driver,field_interview,Public transport is limited,Bus service,Transport,High,Do it myself,Satisfied,Maybe,31-50 AED,Moderate,Weekly,Community center,More local job opportunities are needed.,2026-06-25,high,satisfied,maybe,moderate,weekly,31-50 aed,5,4,0.5,1.0,3,40.0,2,Public transport is limited. Bus service. Do it myself. More local job opportunities are needed.
R000062,25-34,Male,Al Madam,Driver,qr_survey,Public transport is limited,Bus service,Transport,Medium,Ask relatives,Dissatisfied,No,0-30 AED,Very urgent,Monthly,Community center,More local job opportunities are needed.,2026-06-06,medium,dissatisfied,no,very urgent,monthly,0-30 aed,3,2,0.0,5.0,2,0.0,4,Public transport is limited. Bus service. Ask relatives. More local job opportunities are needed.
R000066,45-54,Female,Al Sila,Shop Owner,field_interview,Public transport is limited,Bus service,Transport,Medium,Do it myself,Neutral,Yes,51-100 AED,Low,Weekly,Hotline,More local job opportunities are needed.,2026-06-24,medium,neutral,yes,low,weekly,51-100 aed,3,3,1.0,1.0,3,75.0,3,Public transport is limited. Bus service. Do it myself. More local job opportunities are needed.
R000069,45-54,Female,Liwa,Shop Owner,field_interview,Public transport is limited,Bus service,Transport,Medium,Do it myself,Neutral,Yes,51-100 AED,Low,Monthly,Mobile app,More local job opportunities are needed.,2026-06-15,medium,neutral,yes,low,monthly,51-100 aed,3,3,1.0,1.0,2,75.0,3,Public transport is limited. Bus service. Do it myself. More local job opportunities are needed.
R000071,18-24,Female,Al Sila,Homemaker,field_interview,Public transport is limited,Bus service,Transport,High,Ask relatives,Dissatisfied,Maybe,0-30 AED,Urgent,Daily,Community center,More local job opportunities are needed.,2026-06-18,high,dissatisfied,maybe,urgent,daily,0-30 aed,5,2,0.5,1.0,4,0.0,4,Public transport is limited. Bus service. Ask relatives. More local job opportunities are needed.
R000084,55+,Female,Masafi,Teacher,mobile_app,Public transport is limited,Bus service,Transport,High,Wait longer,Dissatisfied,Maybe,0-30 AED,Very urgent,Daily,Community center,More local job opportunities are needed.,2026-06-27,high,dissatisfied,maybe,very urgent,daily,0-30 aed,5,2,0.5,5.0,4,0.0,4,Public transport is limited. Bus service. Wait longer. More local job opportunities are needed.
R000089,45-54,Male,Liwa,Student,mobile_app,Public transport is limited,Bus service,Transport,Medium,Ask relatives,Dissatisfied,No,31-50 AED,Moderate,Monthly,Hotline,More local job opportunities are needed.,2026-06-19,medium,dissatisfied,no,moderate,monthly,31-50 aed,3,2,0.0,1.0,2,40.0,4,Public transport is limited. Bus service. Ask relatives. More local job opportunities are needed.
R000092,25-34,Female,Masafi,Student,qr_survey,Public transport is limited,Bus service,Transport,High,Wait longer,Neutral,No,0-30 AED,Urgent,Weekly,Mobile app,More local job opportunities are needed.,2026-06-02,high,neutral,no,urgent,weekly,0-30 aed,5,3,0.0,1.0,3,0.0,3,Public transport is limited. Bus service. Wait longer. More local job opportunities are needed.
