response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
DEMO_R0004,45-54,male,Liwa,home-based food seller,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,web dashboard,101-250 AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-03-29,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,101-250 aed,3,175,"Irrigation and water pump issues take too long to repair on remote farms.. farm equipment maintenance coordination. A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime."
DEMO_R0013,35-44,male,Al Qua'a,livestock supplier,volunteer,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,5,occasionally,WhatsApp bot,101-250 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-06-19,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,occasionally,101-250 aed,1,175,Solar-powered farm equipment needs maintenance but providers are far away.. solar farm equipment repair scheduling. A booking tool for solar and irrigation technicians could help farms schedule repairs faster.
DEMO_R0019,25-34,male,Al Ain outskirts,camel farm worker,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,WhatsApp bot,1000+ AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-06-26,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,1000+ aed,3,1200,"Irrigation and water pump issues take too long to repair on remote farms.. farm equipment maintenance coordination. A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime."
DEMO_R0047,45-54,prefer not to say,Al Qua'a,tourism guide,volunteer,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,4,daily,SMS updates,0-50 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-05-08,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,daily,0-50 aed,4,25,Solar-powered farm equipment needs maintenance but providers are far away.. solar farm equipment repair scheduling. A booking tool for solar and irrigation technicians could help farms schedule repairs faster.
DEMO_R0048,25-34,female,Al Qua'a,driver,volunteer,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,3,weekly,phone call service,51-100 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-05-10,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,3.0,weekly,51-100 aed,3,75,Farmers sometimes need equipment for short periods but cannot justify buying it.. farm equipment rental coordination. Equipment rental coordination would help small farms access tools without large upfront costs.
DEMO_R0052,18-24,prefer not to say,Al Ain outskirts,craft seller,government information,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,Farm Operations,5,daily,web dashboard,501-1000 AED,A booking tool for solar and irrigation technicians could help farms schedule repairs faster.,2026-04-12,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,daily,501-1000 aed,4,750,Solar-powered farm equipment needs maintenance but providers are far away.. solar farm equipment repair scheduling. A booking tool for solar and irrigation technicians could help farms schedule repairs faster.
DEMO_R0061,45-54,male,Masfout,driver,government information,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,4,weekly,phone call service,51-100 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-06-21,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,51-100 aed,3,75,Farmers sometimes need equipment for short periods but cannot justify buying it.. farm equipment rental coordination. Equipment rental coordination would help small farms access tools without large upfront costs.
DEMO_R0071,55-64,male,Masfout,homemaker,survey,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,4,weekly,volunteer-assisted form,101-250 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-04-23,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,101-250 aed,3,175,Farmers sometimes need equipment for short periods but cannot justify buying it.. farm equipment rental coordination. Equipment rental coordination would help small farms access tools without large upfront costs.
DEMO_R0078,35-44,prefer not to say,Al Sila,date farmer,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,volunteer-assisted form,251-500 AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-04-05,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,251-500 aed,3,375,"Irrigation and water pump issues take too long to repair on remote farms.. farm equipment maintenance coordination. A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime."
DEMO_R0105,65+,female,Al Qua'a,date farmer,government information,Farmers sometimes need equipment for short periods but cannot justify buying it.,farm equipment rental coordination,Farm Operations,5,occasionally,SMS updates,51-100 AED,Equipment rental coordination would help small farms access tools without large upfront costs.,2026-04-15,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,occasionally,51-100 aed,1,75,Farmers sometimes need equipment for short periods but cannot justify buying it.. farm equipment rental coordination. Equipment rental coordination would help small farms access tools without large upfront costs.
DEMO_R0106,18-24,female,Al Wathba,camel farm worker,government information,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,4,monthly,SMS updates,251-500 AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-04-17,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,monthly,251-500 aed,2,375,"Irrigation and water pump issues take too long to repair on remote farms.. farm equipment maintenance coordination. A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime."
