response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000003,25-34,Female,Al Madam,Student,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Do it myself,Dissatisfied,Yes,51-100 AED,Low,Monthly,Community center,We need faster grocery delivery in our area.,2026-06-27,medium,dissatisfied,yes,low,monthly,51-100 aed,3,2,1.0,1.0,2,75.0,4,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000006,55+,Female,Liwa,Farmer,mobile_app,Delivery is slow,Grocery delivery,Delivery,High,Travel to city,Dissatisfied,No,0-30 AED,Very urgent,Weekly,Hotline,We need faster grocery delivery in our area.,2026-06-01,high,dissatisfied,no,very urgent,weekly,0-30 aed,5,2,0.0,5.0,3,0.0,4,Delivery is slow. Grocery delivery. Travel to city. We need faster grocery delivery in our area.
R000012,35-44,Female,Masafi,Shop Owner,field_interview,Delivery is slow,Grocery delivery,Delivery,High,Do it myself,Neutral,No,0-30 AED,Low,Daily,Hotline,We need faster grocery delivery in our area.,2026-06-12,high,neutral,no,low,daily,0-30 aed,5,3,0.0,1.0,4,0.0,3,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000024,55+,Male,Masafi,Student,field_interview,Delivery is slow,Grocery delivery,Delivery,High,Ask relatives,Dissatisfied,Yes,0-30 AED,Moderate,Monthly,Hotline,We need faster grocery delivery in our area.,2026-06-23,high,dissatisfied,yes,moderate,monthly,0-30 aed,5,2,1.0,1.0,2,0.0,4,Delivery is slow. Grocery delivery. Ask relatives. We need faster grocery delivery in our area.
R000025,25-34,Female,Al Madam,Farmer,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Ask relatives,Satisfied,Yes,31-50 AED,Very urgent,Daily,Hotline,We need faster grocery delivery in our area.,2026-06-18,medium,satisfied,yes,very urgent,daily,31-50 aed,3,4,1.0,5.0,4,40.0,2,Delivery is slow. Grocery delivery. Ask relatives. We need faster grocery delivery in our area.
R000027,45-54,Female,Liwa,Shop Owner,qr_survey,Delivery is slow,Grocery delivery,Delivery,High,Do it myself,Satisfied,Yes,51-100 AED,Urgent,Daily,Website,We need faster grocery delivery in our area.,2026-06-16,high,satisfied,yes,urgent,daily,51-100 aed,5,4,1.0,1.0,4,75.0,2,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000031,45-54,Male,Al Sila,Shop Owner,qr_survey,Delivery is slow,Grocery delivery,Delivery,Low,Wait longer,Dissatisfied,Yes,0-30 AED,Low,Weekly,Mobile app,We need faster grocery delivery in our area.,2026-06-26,low,dissatisfied,yes,low,weekly,0-30 aed,1,2,1.0,1.0,3,0.0,4,Delivery is slow. Grocery delivery. Wait longer. We need faster grocery delivery in our area.
R000032,18-24,Male,Masafi,Student,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Ask relatives,Satisfied,Yes,31-50 AED,Urgent,Weekly,Community center,We need faster grocery delivery in our area.,2026-06-22,medium,satisfied,yes,urgent,weekly,31-50 aed,3,4,1.0,1.0,3,40.0,2,Delivery is slow. Grocery delivery. Ask relatives. We need faster grocery delivery in our area.
R000036,45-54,Male,Masafi,Farmer,qr_survey,Delivery is slow,Grocery delivery,Delivery,Medium,Wait longer,Neutral,Yes,31-50 AED,Urgent,Monthly,Mobile app,We need faster grocery delivery in our area.,2026-06-26,medium,neutral,yes,urgent,monthly,31-50 aed,3,3,1.0,1.0,2,40.0,3,Delivery is slow. Grocery delivery. Wait longer. We need faster grocery delivery in our area.
R000037,25-34,Male,Masafi,Homemaker,field_interview,Delivery is slow,Grocery delivery,Delivery,Low,Ask relatives,Satisfied,No,31-50 AED,Low,Daily,Community center,We need faster grocery delivery in our area.,2026-06-18,low,satisfied,no,low,daily,31-50 aed,1,4,0.0,1.0,4,40.0,2,Delivery is slow. Grocery delivery. Ask relatives. We need faster grocery delivery in our area.
R000043,55+,Male,Liwa,Homemaker,qr_survey,Delivery is slow,Grocery delivery,Delivery,Medium,Travel to city,Satisfied,Maybe,31-50 AED,Moderate,Monthly,Website,We need faster grocery delivery in our area.,2026-06-22,medium,satisfied,maybe,moderate,monthly,31-50 aed,3,4,0.5,1.0,2,40.0,2,Delivery is slow. Grocery delivery. Travel to city. We need faster grocery delivery in our area.
R000051,35-44,Female,Al Madam,Homemaker,qr_survey,Delivery is slow,Grocery delivery,Delivery,High,Wait longer,Satisfied,Maybe,51-100 AED,Low,Weekly,Hotline,We need faster grocery delivery in our area.,2026-06-04,high,satisfied,maybe,low,weekly,51-100 aed,5,4,0.5,1.0,3,75.0,2,Delivery is slow. Grocery delivery. Wait longer. We need faster grocery delivery in our area.
R000052,35-44,Male,Hatta,Farmer,field_interview,Delivery is slow,Grocery delivery,Delivery,High,Do it myself,Neutral,Yes,51-100 AED,Urgent,Weekly,Mobile app,We need faster grocery delivery in our area.,2026-06-12,high,neutral,yes,urgent,weekly,51-100 aed,5,3,1.0,1.0,3,75.0,3,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000054,35-44,Male,Liwa,Teacher,mobile_app,Delivery is slow,Grocery delivery,Delivery,High,Do it myself,Satisfied,No,0-30 AED,Low,Monthly,Community center,We need faster grocery delivery in our area.,2026-06-04,high,satisfied,no,low,monthly,0-30 aed,5,4,0.0,1.0,2,0.0,2,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000064,18-24,Female,Liwa,Teacher,mobile_app,Delivery is slow,Grocery delivery,Delivery,High,Travel to city,Satisfied,Maybe,0-30 AED,Moderate,Daily,Website,We need faster grocery delivery in our area.,2026-06-21,high,satisfied,maybe,moderate,daily,0-30 aed,5,4,0.5,1.0,4,0.0,2,Delivery is slow. Grocery delivery. Travel to city. We need faster grocery delivery in our area.
R000065,25-34,Female,Masafi,Homemaker,field_interview,Delivery is slow,Grocery delivery,Delivery,Medium,Do it myself,Dissatisfied,Yes,31-50 AED,Urgent,Monthly,Website,We need faster grocery delivery in our area.,2026-06-22,medium,dissatisfied,yes,urgent,monthly,31-50 aed,3,2,1.0,1.0,2,40.0,4,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000068,45-54,Female,Liwa,Farmer,mobile_app,Delivery is slow,Grocery delivery,Delivery,High,Wait longer,Neutral,No,0-30 AED,Low,Monthly,Community center,We need faster grocery delivery in our area.,2026-06-18,high,neutral,no,low,monthly,0-30 aed,5,3,0.0,1.0,2,0.0,3,Delivery is slow. Grocery delivery. Wait longer. We need faster grocery delivery in our area.
R000074,55+,Male,Liwa,Student,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Do it myself,Satisfied,No,0-30 AED,Moderate,Monthly,Website,We need faster grocery delivery in our area.,2026-06-09,medium,satisfied,no,moderate,monthly,0-30 aed,3,4,0.0,1.0,2,0.0,2,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000075,35-44,Female,Masafi,Teacher,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Do it myself,Neutral,Maybe,0-30 AED,Urgent,Monthly,Mobile app,We need faster grocery delivery in our area.,2026-06-03,medium,neutral,maybe,urgent,monthly,0-30 aed,3,3,0.5,1.0,2,0.0,3,Delivery is slow. Grocery delivery. Do it myself. We need faster grocery delivery in our area.
R000083,35-44,Male,Al Sila,Student,qr_survey,Delivery is slow,Grocery delivery,Delivery,Medium,Wait longer,Dissatisfied,Maybe,0-30 AED,Urgent,Daily,Hotline,We need faster grocery delivery in our area.,2026-06-18,medium,dissatisfied,maybe,urgent,daily,0-30 aed,3,2,0.5,1.0,4,0.0,4,Delivery is slow. Grocery delivery. Wait longer. We need faster grocery delivery in our area.
R000085,25-34,Male,Al Madam,Homemaker,mobile_app,Delivery is slow,Grocery delivery,Delivery,Medium,Ask relatives,Dissatisfied,Maybe,0-30 AED,Moderate,Daily,Website,We need faster grocery delivery in our area.,2026-06-10,medium,dissatisfied,maybe,moderate,daily,0-30 aed,3,2,0.5,1.0,4,0.0,4,Delivery is slow. Grocery delivery. Ask relatives. We need faster grocery delivery in our area.
R000088,45-54,Female,Al Sila,Shop Owner,field_interview,Delivery is slow,Grocery delivery,Delivery,High,Travel to city,Neutral,No,51-100 AED,Urgent,Weekly,Website,We need faster grocery delivery in our area.,2026-06-09,high,neutral,no,urgent,weekly,51-100 aed,5,3,0.0,1.0,3,75.0,3,Delivery is slow. Grocery delivery. Travel to city. We need faster grocery delivery in our area.
