response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000112,25-34,female,Masafi,farmer,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,SMS,51-100 AED,Healthcare services are too far away.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000121,35-44,female,Masafi,student,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Mobile app,51-100 AED,Healthcare services are too far away.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000125,25-34,female,Al Madam,teacher,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,SMS,0-30 AED,Healthcare services are too far away.,2026-06-13,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000132,18-24,female,Hatta,driver,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Website,51-100 AED,Healthcare services are too far away.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000138,55+,male,Ghayathi,shop owner,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,daily,Website,31-50 AED,Healthcare services are too far away.,2026-06-09,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000140,18-24,male,Masafi,homemaker,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,SMS,100+ AED,Healthcare services are too far away.,2026-06-13,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000143,45-54,female,Liwa,student,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Website,51-100 AED,Healthcare services are too far away.,2026-06-01,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000146,25-34,female,Al Madam,farmer,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,Website,100+ AED,Healthcare services are too far away.,2026-06-26,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000147,18-24,female,Al Madam,shop owner,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,SMS,31-50 AED,Healthcare services are too far away.,2026-06-28,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,31-50 aed,2,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000151,18-24,female,Al Madam,farmer,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,daily,Mobile app,31-50 AED,Healthcare services are too far away.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000153,18-24,female,Masafi,driver,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,weekly,Website,0-30 AED,Healthcare services are too far away.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000167,25-34,male,Al Sila,student,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,weekly,SMS,31-50 AED,Healthcare services are too far away.,2026-06-30,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,31-50 aed,3,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000169,18-24,male,Masafi,farmer,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Website,100+ AED,Healthcare services are too far away.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,100+ aed,3,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000174,35-44,female,Ghayathi,farmer,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,daily,Mobile app,51-100 AED,Healthcare services are too far away.,2026-06-30,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000175,35-44,male,Masafi,farmer,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Community center,31-50 AED,Healthcare services are too far away.,2026-06-14,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000178,18-24,female,Al Madam,teacher,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Community center,100+ AED,Healthcare services are too far away.,2026-06-11,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000180,25-34,female,Ghayathi,retired,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Website,100+ AED,Healthcare services are too far away.,2026-06-05,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,100+ aed,3,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000187,18-24,male,Ghayathi,retired,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,daily,SMS,100+ AED,Healthcare services are too far away.,2026-06-12,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000188,35-44,female,Delma Island,retired,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,daily,Website,0-30 AED,Healthcare services are too far away.,2026-06-05,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000194,18-24,male,Hatta,shop owner,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Website,31-50 AED,Healthcare services are too far away.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000197,45-54,male,Hatta,farmer,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Website,51-100 AED,Healthcare services are too far away.,2026-06-09,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000200,35-44,female,Ghayathi,teacher,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,1.0,monthly,Community center,51-100 AED,Healthcare services are too far away.,2026-06-11,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000216,25-34,female,Ghayathi,student,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,weekly,SMS,0-30 AED,Healthcare services are too far away.,2026-06-09,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000218,25-34,male,Liwa,teacher,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,Mobile app,51-100 AED,Healthcare services are too far away.,2026-06-10,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000221,18-24,male,Ghayathi,farmer,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,SMS,100+ AED,Healthcare services are too far away.,2026-06-01,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
R000227,25-34,female,Delma Island,teacher,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,daily,Mobile app,0-30 AED,Healthcare services are too far away.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.
