response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000101,18-24,female,Hatta,teacher,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,daily,Website,51-100 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000102,35-44,male,Al Sila,farmer,field_interview,Poor internet,Internet upgrade,Connectivity,1.0,weekly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-25,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000103,25-34,male,Delma Island,student,mobile_app,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-28,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000108,18-24,male,Al Sila,teacher,qr_survey,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,31-50 AED,Internet access should be more reliable.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000109,18-24,female,Hatta,shop owner,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,weekly,SMS,51-100 AED,Internet access should be more reliable.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000116,35-44,female,Ghayathi,retired,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Website,100+ AED,Internet access should be more reliable.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000117,35-44,male,Delma Island,driver,community_event,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-04,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000131,35-44,female,Hatta,homemaker,qr_survey,Poor internet,Internet upgrade,Connectivity,3.0,daily,Community center,31-50 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000139,55+,male,Masafi,teacher,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,monthly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000145,45-54,female,Al Madam,farmer,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,100+ AED,Internet access should be more reliable.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000148,55+,female,Al Sila,driver,community_event,Poor internet,Internet upgrade,Connectivity,5.0,daily,Community center,31-50 AED,Internet access should be more reliable.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000152,55+,male,Al Sila,driver,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,monthly,Community center,51-100 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000156,35-44,male,Hatta,shop owner,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Website,51-100 AED,Internet access should be more reliable.,2026-06-27,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000163,18-24,female,Hatta,retired,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,daily,SMS,31-50 AED,Internet access should be more reliable.,2026-06-30,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000170,18-24,male,Hatta,shop owner,field_interview,Poor internet,Internet upgrade,Connectivity,1.0,monthly,Website,100+ AED,Internet access should be more reliable.,2026-06-11,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000177,18-24,female,Hatta,teacher,community_event,Poor internet,Internet upgrade,Connectivity,3.0,weekly,Mobile app,51-100 AED,Internet access should be more reliable.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000189,45-54,female,Al Madam,shop owner,field_interview,Poor internet,Internet upgrade,Connectivity,3.0,weekly,Mobile app,31-50 AED,Internet access should be more reliable.,2026-06-14,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,31-50 aed,3,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000199,35-44,male,Al Sila,student,community_event,Poor internet,Internet upgrade,Connectivity,1.0,daily,Website,0-30 AED,Internet access should be more reliable.,2026-06-16,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,daily,0-30 aed,4,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000201,18-24,female,Al Madam,retired,qr_survey,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,51-100 AED,Internet access should be more reliable.,2026-06-30,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000207,55+,female,Delma Island,student,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Community center,100+ AED,Internet access should be more reliable.,2026-06-09,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,100+ aed,3,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000211,25-34,male,Al Madam,retired,mobile_app,Poor internet,Internet upgrade,Connectivity,5.0,monthly,SMS,100+ AED,Internet access should be more reliable.,2026-06-20,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000215,25-34,female,Delma Island,driver,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,daily,SMS,31-50 AED,Internet access should be more reliable.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000219,55+,female,Masafi,student,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Website,31-50 AED,Internet access should be more reliable.,2026-06-22,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000223,35-44,female,Liwa,student,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,monthly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000226,35-44,male,Liwa,homemaker,qr_survey,Poor internet,Internet upgrade,Connectivity,5.0,daily,Website,100+ AED,Internet access should be more reliable.,2026-06-04,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000233,18-24,male,Ghayathi,homemaker,community_event,Poor internet,Internet upgrade,Connectivity,3.0,daily,SMS,51-100 AED,Internet access should be more reliable.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,51-100 aed,4,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000237,55+,male,Liwa,farmer,community_event,Poor internet,Internet upgrade,Connectivity,5.0,daily,Mobile app,0-30 AED,Internet access should be more reliable.,2026-06-13,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000240,35-44,female,Masafi,teacher,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,weekly,Website,51-100 AED,Internet access should be more reliable.,2026-06-15,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000241,45-54,female,Masafi,student,community_event,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Community center,31-50 AED,Internet access should be more reliable.,2026-06-27,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000243,55+,male,Masafi,retired,field_interview,Poor internet,Internet upgrade,Connectivity,3.0,monthly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000247,25-34,male,Ghayathi,shop owner,mobile_app,Poor internet,Internet upgrade,Connectivity,1.0,daily,Community center,51-100 AED,Internet access should be more reliable.,2026-06-26,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,daily,51-100 aed,4,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.
R000250,55+,male,Masafi,retired,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,weekly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-17,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.
