response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text,sentiment_model,sentiment_label,sentiment_score,bertopic_topic
R000101,18-24,female,Hatta,teacher,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,daily,Website,51-100 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000102,35-44,male,Al Sila,farmer,field_interview,Poor internet,Internet upgrade,Connectivity,1.0,weekly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-25,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000103,25-34,male,Delma Island,student,mobile_app,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-28,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000104,18-24,male,Delma Island,farmer,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Mobile app,31-50 AED,We need better transport options.,2026-06-08,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000105,55+,female,Al Madam,teacher,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,SMS,0-30 AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000106,25-34,male,Al Madam,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-17,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000107,45-54,male,Hatta,homemaker,community_event,Delivery is slow,Grocery delivery,Rural Transport,1.0,weekly,Website,100+ AED,We need faster grocery delivery in our area.,2026-06-21,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000108,18-24,male,Al Sila,teacher,qr_survey,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,31-50 AED,Internet access should be more reliable.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000109,18-24,female,Hatta,shop owner,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,weekly,SMS,51-100 AED,Internet access should be more reliable.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000110,55+,female,Al Madam,homemaker,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,Website,0-30 AED,We need faster grocery delivery in our area.,2026-06-10,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000111,25-34,female,Masafi,student,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Website,31-50 AED,We need better transport options.,2026-06-26,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000112,25-34,female,Masafi,farmer,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,SMS,51-100 AED,Healthcare services are too far away.,2026-06-08,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000113,45-54,male,Al Sila,retired,community_event,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Mobile app,100+ AED,We need faster grocery delivery in our area.,2026-06-13,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000114,45-54,male,Hatta,student,field_interview,Public transport is limited,Bus service,Rural Transport,1.0,weekly,SMS,100+ AED,We need better transport options.,2026-06-02,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000115,18-24,male,Delma Island,teacher,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,3.0,weekly,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-23,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000116,35-44,female,Ghayathi,retired,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Website,100+ AED,Internet access should be more reliable.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000117,35-44,male,Delma Island,driver,community_event,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Community center,0-30 AED,Internet access should be more reliable.,2026-06-04,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000118,45-54,female,Hatta,teacher,mobile_app,Public transport is limited,Bus service,Rural Transport,3.0,daily,Community center,0-30 AED,We need better transport options.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000119,55+,male,Al Madam,retired,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000120,18-24,male,Delma Island,teacher,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,1.0,daily,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-28,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,1.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000121,35-44,female,Masafi,student,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,Mobile app,51-100 AED,Healthcare services are too far away.,2026-06-08,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000122,45-54,female,Hatta,shop owner,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-02,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000123,35-44,male,Al Madam,homemaker,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,Community center,100+ AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000124,45-54,male,Delma Island,homemaker,field_interview,Few job opportunities,Job platform,Employment,5.0,monthly,SMS,51-100 AED,More local job opportunities are needed.,2026-06-09,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000125,25-34,female,Al Madam,teacher,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,weekly,SMS,0-30 AED,Healthcare services are too far away.,2026-06-13,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000126,25-34,male,Delma Island,student,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,5.0,daily,Community center,0-30 AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000127,45-54,female,Liwa,teacher,field_interview,Public transport is limited,Bus service,Rural Transport,3.0,monthly,Community center,31-50 AED,We need better transport options.,2026-06-20,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,31-50 aed,2,40.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000128,35-44,male,Ghayathi,farmer,community_event,Few job opportunities,Job platform,Employment,5.0,daily,Community center,51-100 AED,More local job opportunities are needed.,2026-06-21,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000129,18-24,female,Al Madam,teacher,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,SMS,31-50 AED,We need faster grocery delivery in our area.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000130,18-24,female,Masafi,homemaker,qr_survey,Few job opportunities,Job platform,Employment,5.0,monthly,Mobile app,31-50 AED,More local job opportunities are needed.,2026-06-22,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,31-50 aed,2,40.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000131,35-44,female,Hatta,homemaker,qr_survey,Poor internet,Internet upgrade,Connectivity,3.0,daily,Community center,31-50 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000132,18-24,female,Hatta,driver,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Website,51-100 AED,Healthcare services are too far away.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000133,35-44,female,Al Sila,homemaker,field_interview,Few job opportunities,Job platform,Employment,5.0,daily,Mobile app,100+ AED,More local job opportunities are needed.,2026-06-16,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,100+ aed,4,120.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000134,25-34,male,Al Madam,student,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,daily,Website,51-100 AED,We need better transport options.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,51-100 aed,4,75.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000135,18-24,female,Hatta,retired,field_interview,Delivery is slow,Grocery delivery,Rural Transport,5.0,weekly,Website,31-50 AED,We need faster grocery delivery in our area.,2026-06-27,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000136,35-44,female,Ghayathi,student,mobile_app,Few job opportunities,Job platform,Employment,3.0,daily,SMS,31-50 AED,More local job opportunities are needed.,2026-06-17,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000137,45-54,male,Al Madam,farmer,community_event,Few job opportunities,Job platform,Employment,5.0,daily,Community center,0-30 AED,More local job opportunities are needed.,2026-06-19,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000138,55+,male,Ghayathi,shop owner,mobile_app,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,daily,Website,31-50 AED,Healthcare services are too far away.,2026-06-09,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000139,55+,male,Masafi,teacher,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,monthly,SMS,0-30 AED,Internet access should be more reliable.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000140,18-24,male,Masafi,homemaker,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,SMS,100+ AED,Healthcare services are too far away.,2026-06-13,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000141,35-44,male,Hatta,shop owner,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Website,51-100 AED,We need faster grocery delivery in our area.,2026-06-15,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000142,55+,male,Al Sila,farmer,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,Website,51-100 AED,We need faster grocery delivery in our area.,2026-06-02,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5457,not_used
R000143,45-54,female,Liwa,student,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,5.0,monthly,Website,51-100 AED,Healthcare services are too far away.,2026-06-01,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000144,45-54,male,Masafi,farmer,community_event,Public transport is limited,Bus service,Rural Transport,3.0,daily,Mobile app,31-50 AED,We need better transport options.,2026-06-11,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000145,45-54,female,Al Madam,farmer,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,monthly,Mobile app,100+ AED,Internet access should be more reliable.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000146,25-34,female,Al Madam,farmer,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,Website,100+ AED,Healthcare services are too far away.,2026-06-26,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000147,18-24,female,Al Madam,shop owner,community_event,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,monthly,SMS,31-50 AED,Healthcare services are too far away.,2026-06-28,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,31-50 aed,2,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000148,55+,female,Al Sila,driver,community_event,Poor internet,Internet upgrade,Connectivity,5.0,daily,Community center,31-50 AED,Internet access should be more reliable.,2026-06-24,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,31-50 aed,4,40.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000149,35-44,male,Al Sila,driver,mobile_app,Few job opportunities,Job platform,Employment,3.0,weekly,SMS,100+ AED,More local job opportunities are needed.,2026-06-27,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Few job opportunities. Job platform. More local job opportunities are needed.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.5246,not_used
R000150,35-44,female,Al Sila,teacher,field_interview,Public transport is limited,Bus service,Rural Transport,5.0,daily,Community center,51-100 AED,We need better transport options.,2026-06-15,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000151,18-24,female,Al Madam,farmer,field_interview,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,daily,Mobile app,31-50 AED,Healthcare services are too far away.,2026-06-07,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000152,55+,male,Al Sila,driver,mobile_app,Poor internet,Internet upgrade,Connectivity,3.0,monthly,Community center,51-100 AED,Internet access should be more reliable.,2026-06-06,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
R000153,18-24,female,Masafi,driver,qr_survey,Limited healthcare,Telemedicine,Mobile Healthcare,3.0,weekly,Website,0-30 AED,Healthcare services are too far away.,2026-06-25,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,3.0,weekly,0-30 aed,3,0.0,Limited healthcare. Telemedicine. Healthcare services are too far away.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7783,not_used
R000154,55+,female,Delma Island,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,monthly,Website,51-100 AED,We need better transport options.,2026-06-28,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000155,45-54,female,Al Sila,shop owner,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Community center,0-30 AED,We need better transport options.,2026-06-25,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Public transport is limited. Bus service. We need better transport options.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.6798,not_used
R000156,35-44,male,Hatta,shop owner,field_interview,Poor internet,Internet upgrade,Connectivity,5.0,weekly,Website,51-100 AED,Internet access should be more reliable.,2026-06-27,B20260627_081146,2026-06-27T08:11:46,20260627_081146_rural_community_survey_mock_data_v2.csv,5.0,weekly,51-100 aed,3,75.0,Poor internet. Internet upgrade. Internet access should be more reliable.,cardiffnlp/twitter-xlm-roberta-base-sentiment,negative,-0.7227,not_used
