response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name
DEMO_R0001,25-34,male,Liwa,small grocery owner,government information,Transport to services in Al Ain is difficult for families and workers.,scheduled rural shuttle,Rural Transport,5,occasionally,WhatsApp bot,101-250 AED,"A scheduled shuttle to Al Ain for errands, clinics, and supplies would help the community.",2026-06-24,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0002,25-34,prefer not to say,Al Ain outskirts,camel farm owner,survey,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,Veterinary & Camel Care,4,daily,SMS updates,251-500 AED,A WhatsApp booking service for camel vets would help farm families avoid long delays.,2026-06-27,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0003,35-44,male,Al Wathba,teacher,volunteer,"Clinic visits require long travel, especially for elderly residents and farm workers.",mobile health checkup visits,Mobile Healthcare,5,daily,phone call service,51-100 AED,Mobile checkup visits would help residents get basic care without frequent long trips.,2026-05-14,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0004,45-54,male,Liwa,home-based food seller,survey,Irrigation and water pump issues take too long to repair on remote farms.,farm equipment maintenance coordination,Farm Operations,5,weekly,web dashboard,101-250 AED,"A maintenance coordination service for irrigation, pumps, and farm equipment would reduce downtime.",2026-03-29,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0005,18-24,male,Al Qua'a,camel farm worker,government information,Farmers cannot easily compare camel feed suppliers or veterinary costs.,camel feed and vet price comparison,Veterinary & Camel Care,4,weekly,web dashboard,0-50 AED,"A simple comparison tool for feed, vet visits, and medicine could reduce farm costs.",2026-05-13,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0006,18-24,prefer not to say,Al Wathba,tourism guide,survey,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,Tourism & Stargazing,4,daily,phone call service,51-100 AED,"A local tourism hub could show safe routes, guide contacts, camping rules, and local sellers.",2026-04-07,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0007,18-24,male,Al Wathba,livestock supplier,government information,Transport to services in Al Ain is difficult for families and workers.,scheduled rural shuttle,Rural Transport,5,weekly,WhatsApp bot,501-1000 AED,"A scheduled shuttle to Al Ain for errands, clinics, and supplies would help the community.",2026-04-16,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0008,45-54,prefer not to say,Al Qua'a,driver,survey,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,3,daily,SMS updates,51-100 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-04-14,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0009,25-34,prefer not to say,Al Ain outskirts,camel farm worker,survey,Farm products are produced before sellers know what customers actually want.,local demand forecasting for farm products,Market Access,5,monthly,WhatsApp bot,0-50 AED,A simple demand tracker could help farmers decide what to prepare before market days.,2026-04-01,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
DEMO_R0010,45-54,prefer not to say,Al Ain outskirts,student,volunteer,Small sellers rely on word of mouth and cannot reach buyers in Al Ain or Abu Dhabi.,"marketplace for camel milk, dates, and local products",Market Access,4,occasionally,in-person kiosk,0-50 AED,"A community marketplace could help families sell camel milk, dates, crafts, and home food.",2026-04-20,DEMO,2026-06-27T16:12:17,synthetic_al_quaa_demo
