response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000013,18-24,Female,Masfout,Student,voice_note,Limited tourism information,Weekend tourism platform,Tourism,High,Search online,Dissatisfied,Maybe,31-50 AED,Very urgent,Weekly,Mobile app,A simple guide for tourists would help small local businesses.,2026-05-10,high,dissatisfied,maybe,very urgent,weekly,31-50 aed,5,2,0.5,5,3,40,4,Limited tourism information. Weekend tourism platform. Search online. A simple guide for tourists would help small local businesses.
R000014,55+,Female,Ras Al Khaimah Rural Area,Student,paper_form,Tourists do not know local activities,Local experience booking,Tourism,High,Ask locals,Neutral,Yes,100+ AED,Soon,Weekly,WhatsApp,Tourists come on weekends but do not know where to go.,2026-05-24,high,neutral,yes,soon,weekly,100+ aed,5,3,1.0,3,3,120,3,Tourists do not know local activities. Local experience booking. Ask locals. Tourists come on weekends but do not know where to go.
R000018,25-34,Male,Ghayathi,Retired,interview,Tourists do not know local activities,Weekend tourism platform,Tourism,Medium,Search online,Neutral,No,0 AED,Very urgent,Daily,Delivery service,"Visitors ask about local food, farms, and activities.",2026-06-26,medium,neutral,no,very urgent,daily,0 aed,3,3,0.0,5,4,0,3,"Tourists do not know local activities. Weekend tourism platform. Search online. Visitors ask about local food, farms, and activities."
R000024,18-24,Male,Al Ain Outskirts,Tourism Worker,shop_owner_note,Tourists do not know local activities,Farm visit booking,Tourism,Medium,Search online,Satisfied,Maybe,0 AED,Soon,Weekly,Website,Tourists come on weekends but do not know where to go.,2026-05-25,medium,satisfied,maybe,soon,weekly,0 aed,3,4,0.5,3,3,0,2,Tourists do not know local activities. Farm visit booking. Search online. Tourists come on weekends but do not know where to go.
R000028,45-54,Male,Ras Al Khaimah Rural Area,Retired,shop_owner_note,Local guides are not visible,Local experience booking,Tourism,Medium,Ask locals,Satisfied,Maybe,10-30 AED,Not urgent,Daily,In-person service,A simple guide for tourists would help small local businesses.,2026-06-14,medium,satisfied,maybe,not urgent,daily,10-30 aed,3,4,0.5,1,4,20,2,Local guides are not visible. Local experience booking. Ask locals. A simple guide for tourists would help small local businesses.
R000032,55+,Male,Khor Fakkan Outskirts,Student,qr_survey,Local guides are not visible,Farm visit booking,Tourism,High,Use Instagram,Dissatisfied,Yes,10-30 AED,Very urgent,Daily,Phone call,"Visitors ask about local food, farms, and activities.",2026-04-21,high,dissatisfied,yes,very urgent,daily,10-30 aed,5,2,1.0,5,4,20,4,"Local guides are not visible. Farm visit booking. Use Instagram. Visitors ask about local food, farms, and activities."
R000033,25-34,Prefer Not To Say,Liwa,Employee,qr_survey,Local guides are not visible,Rural tourism guide,Tourism,High,No organized option,Dissatisfied,Maybe,31-50 AED,Soon,Weekly,Community center,"Visitors ask about local food, farms, and activities.",2026-06-02,high,dissatisfied,maybe,soon,weekly,31-50 aed,5,2,0.5,3,3,40,4,"Local guides are not visible. Rural tourism guide. No organized option. Visitors ask about local food, farms, and activities."
R000035,35-44,Prefer Not To Say,Khor Fakkan Outskirts,Shop Owner,voice_note,Tourists do not know local activities,Rural tourism guide,Tourism,High,No organized option,Very dissatisfied,Maybe,100+ AED,Very urgent,Daily,WhatsApp,A simple guide for tourists would help small local businesses.,2026-04-02,high,very dissatisfied,maybe,very urgent,daily,100+ aed,5,1,0.5,5,4,120,5,Tourists do not know local activities. Rural tourism guide. No organized option. A simple guide for tourists would help small local businesses.
R000047,35-44,Female,Ghayathi,Retired,shop_owner_note,Local guides are not visible,Local experience booking,Tourism,Low,Search online,Very dissatisfied,Yes,10-30 AED,Very urgent,Weekly,Phone call,A simple guide for tourists would help small local businesses.,2026-06-07,low,very dissatisfied,yes,very urgent,weekly,10-30 aed,1,1,1.0,5,3,20,5,Local guides are not visible. Local experience booking. Search online. A simple guide for tourists would help small local businesses.
R000055,35-44,Female,Kalba,Shop Owner,shop_owner_note,Tourists do not know local activities,Rural tourism guide,Tourism,High,Ask locals,Neutral,Maybe,51-100 AED,Very urgent,Weekly,In-person service,"Visitors ask about local food, farms, and activities.",2026-04-28,high,neutral,maybe,very urgent,weekly,51-100 aed,5,3,0.5,5,3,75,3,"Tourists do not know local activities. Rural tourism guide. Ask locals. Visitors ask about local food, farms, and activities."
