occupation,response_count,avg_importance,avg_frequency,avg_budget_aed,positive_share,negative_share,neutral_share,top_problem,top_needed_service,top_solution_type,need_score,payment_readiness_score
camel farm worker,12,4.333333333333333,2.5833333333333335,316.6666666666667,0.25,0.08333333333333333,0.6666666666666666,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,WhatsApp catalog and order helper,SMS updates,77.08,44.47
livestock supplier,10,4.3,2.8,272.5,0.1,0.4,0.5,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,WhatsApp bot,73.3,35.55
tourism guide,7,4.285714285714286,3.2857142857142856,178.57142857142858,0.5714285714285714,0.2857142857142857,0.14285714285714285,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,phone call service,69.07,16.59
student,10,3.8,2.7,297.5,0.2,0.4,0.4,Internet issues are repeated but hard to document clearly.,connectivity issue reporting dashboard,in-person kiosk,68.1,40.6
home-based food seller,8,3.875,3.125,209.375,0.5,0.125,0.375,Families want to sell food and handmade products to astronomy visitors.,stargazing visitor information hub,mobile app,66.75,22.81
camel farm owner,5,4.6,3.2,410.0,0.2,0.4,0.4,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,WhatsApp catalog and order helper,web dashboard,66.3,63.32
mechanic,6,4.333333333333333,3.0,591.6666666666666,0.0,0.3333333333333333,0.6666666666666666,Home maintenance providers are difficult to find quickly in remote areas.,medicine pickup and delivery,volunteer-assisted form,65.0,100.0
driver,7,4.0,2.857142857142857,96.42857142857143,0.0,0.8571428571428571,0.14285714285714285,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,WhatsApp bot,63.5,0.0
date farmer,8,3.875,2.625,293.75,0.25,0.125,0.625,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,WhatsApp bot,63.25,39.84
healthcare worker,6,3.8333333333333335,3.3333333333333335,350.0,0.0,0.6666666666666666,0.3333333333333333,Delivery drivers do not consistently serve remote farms.,rural delivery network,in-person kiosk,62.83,51.2
craft seller,6,4.166666666666667,2.8333333333333335,420.8333333333333,0.3333333333333333,0.16666666666666666,0.5,Families want to sell food and handmade products to astronomy visitors.,WhatsApp catalog and order helper,phone call service,62.33,65.5
small grocery owner,6,4.166666666666667,2.8333333333333335,287.5,0.16666666666666666,0.5,0.3333333333333333,Home maintenance providers are difficult to find quickly in remote areas.,WhatsApp catalog and order helper,WhatsApp bot,62.33,38.58
homemaker,4,4.25,3.0,331.25,0.5,0.5,0.0,Families want to sell food and handmade products to astronomy visitors.,farm equipment rental coordination,WhatsApp bot,59.25,47.42
teacher,5,4.2,2.4,440.0,0.0,0.4,0.6,"Clinic visits require long travel, especially for elderly residents and farm workers.",basic digital skills training,WhatsApp bot,57.1,69.38
