response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
R000104,18-24,male,Delma Island,farmer,mobile_app,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Mobile app,31-50 AED,We need better transport options.,2026-06-08,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000105,55+,female,Al Madam,teacher,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,SMS,0-30 AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,0-30 aed,2,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000106,25-34,male,Al Madam,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-17,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000107,45-54,male,Hatta,homemaker,community_event,Delivery is slow,Grocery delivery,Rural Transport,1.0,weekly,Website,100+ AED,We need faster grocery delivery in our area.,2026-06-21,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000110,55+,female,Al Madam,homemaker,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,Website,0-30 AED,We need faster grocery delivery in our area.,2026-06-10,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000111,25-34,female,Masafi,student,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Website,31-50 AED,We need better transport options.,2026-06-26,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Public transport is limited. Bus service. We need better transport options.
R000113,45-54,male,Al Sila,retired,community_event,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Mobile app,100+ AED,We need faster grocery delivery in our area.,2026-06-13,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000114,45-54,male,Hatta,student,field_interview,Public transport is limited,Bus service,Rural Transport,1.0,weekly,SMS,100+ AED,We need better transport options.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,weekly,100+ aed,3,120.0,Public transport is limited. Bus service. We need better transport options.
R000115,18-24,male,Delma Island,teacher,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,3.0,weekly,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-23,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,weekly,100+ aed,3,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000118,45-54,female,Hatta,teacher,mobile_app,Public transport is limited,Bus service,Rural Transport,3.0,daily,Community center,0-30 AED,We need better transport options.,2026-06-07,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,0-30 aed,4,0.0,Public transport is limited. Bus service. We need better transport options.
R000119,55+,male,Al Madam,retired,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-19,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000120,18-24,male,Delma Island,teacher,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,1.0,daily,SMS,100+ AED,We need faster grocery delivery in our area.,2026-06-28,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,1.0,daily,100+ aed,4,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000122,45-54,female,Hatta,shop owner,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,monthly,SMS,100+ AED,We need better transport options.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,100+ aed,2,120.0,Public transport is limited. Bus service. We need better transport options.
R000123,35-44,male,Al Madam,homemaker,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,Community center,100+ AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,100+ aed,2,120.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000126,25-34,male,Delma Island,student,qr_survey,Delivery is slow,Grocery delivery,Rural Transport,5.0,daily,Community center,0-30 AED,We need faster grocery delivery in our area.,2026-06-24,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,0-30 aed,4,0.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000127,45-54,female,Liwa,teacher,field_interview,Public transport is limited,Bus service,Rural Transport,3.0,monthly,Community center,31-50 AED,We need better transport options.,2026-06-20,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,31-50 aed,2,40.0,Public transport is limited. Bus service. We need better transport options.
R000129,18-24,female,Al Madam,teacher,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,3.0,daily,SMS,31-50 AED,We need faster grocery delivery in our area.,2026-06-01,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000134,25-34,male,Al Madam,student,qr_survey,Public transport is limited,Bus service,Rural Transport,3.0,daily,Website,51-100 AED,We need better transport options.,2026-06-01,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,51-100 aed,4,75.0,Public transport is limited. Bus service. We need better transport options.
R000135,18-24,female,Hatta,retired,field_interview,Delivery is slow,Grocery delivery,Rural Transport,5.0,weekly,Website,31-50 AED,We need faster grocery delivery in our area.,2026-06-27,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,31-50 aed,3,40.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000141,35-44,male,Hatta,shop owner,mobile_app,Delivery is slow,Grocery delivery,Rural Transport,5.0,monthly,Website,51-100 AED,We need faster grocery delivery in our area.,2026-06-15,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000142,55+,male,Al Sila,farmer,field_interview,Delivery is slow,Grocery delivery,Rural Transport,3.0,monthly,Website,51-100 AED,We need faster grocery delivery in our area.,2026-06-02,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,monthly,51-100 aed,2,75.0,Delivery is slow. Grocery delivery. We need faster grocery delivery in our area.
R000144,45-54,male,Masafi,farmer,community_event,Public transport is limited,Bus service,Rural Transport,3.0,daily,Mobile app,31-50 AED,We need better transport options.,2026-06-11,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,3.0,daily,31-50 aed,4,40.0,Public transport is limited. Bus service. We need better transport options.
R000150,35-44,female,Al Sila,teacher,field_interview,Public transport is limited,Bus service,Rural Transport,5.0,daily,Community center,51-100 AED,We need better transport options.,2026-06-15,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,daily,51-100 aed,4,75.0,Public transport is limited. Bus service. We need better transport options.
R000154,55+,female,Delma Island,farmer,qr_survey,Public transport is limited,Bus service,Rural Transport,5.0,monthly,Website,51-100 AED,We need better transport options.,2026-06-28,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,monthly,51-100 aed,2,75.0,Public transport is limited. Bus service. We need better transport options.
R000155,45-54,female,Al Sila,shop owner,community_event,Public transport is limited,Bus service,Rural Transport,5.0,weekly,Community center,0-30 AED,We need better transport options.,2026-06-25,B20260627_133145,2026-06-27T13:31:45,20260627_133145_rural_community_survey_mock_data_v2.csv,5.0,weekly,0-30 aed,3,0.0,Public transport is limited. Bus service. We need better transport options.
