response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,frequency_of_problem,preferred_solution_type,monthly_budget,opinion_text,date_collected,import_batch_id,imported_at,source_file_name,importance_score,frequency_key,budget_key,frequency_score,budget_midpoint_aed,analysis_text
DEMO_R0008,45-54,prefer not to say,Al Qua'a,driver,survey,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,3,daily,SMS updates,51-100 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-04-14,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,3.0,daily,51-100 aed,4,75,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0023,25-34,prefer not to say,Al Qua'a,craft seller,survey,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,5,weekly,SMS updates,101-250 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-25,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,101-250 aed,3,175,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0026,65+,prefer not to say,Sweihan,mechanic,volunteer,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,5,weekly,in-person kiosk,1000+ AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-06-10,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,1000+ aed,3,1200,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0028,35-44,male,Al Qua'a,student,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,mobile app,251-500 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-04-18,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,251-500 aed,3,375,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0030,65+,male,Al Madam,small grocery owner,survey,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,volunteer-assisted form,1000+ AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-08,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,1000+ aed,3,1200,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0067,35-44,prefer not to say,Al Qua'a,mechanic,government information,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,WhatsApp bot,251-500 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-03-30,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,251-500 aed,3,375,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0069,35-44,prefer not to say,Hatta,healthcare worker,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,in-person kiosk,501-1000 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-04,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,501-1000 aed,3,750,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0072,45-54,female,Al Wathba,tourism guide,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,phone call service,101-250 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-21,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,101-250 aed,3,175,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0077,35-44,prefer not to say,Sweihan,teacher,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,4,occasionally,volunteer-assisted form,1000+ AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-28,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,occasionally,1000+ aed,1,1200,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0081,65+,female,Masfout,healthcare worker,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,1,daily,SMS updates,501-1000 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-29,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,1.0,daily,501-1000 aed,4,750,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0087,25-34,prefer not to say,Al Sila,home-based food seller,government information,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,3,daily,mobile app,251-500 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-04-04,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,3.0,daily,251-500 aed,4,375,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0093,25-34,male,Al Wathba,camel farm worker,other,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,4,weekly,WhatsApp bot,501-1000 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-06-10,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,501-1000 aed,3,750,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0108,65+,male,Al Qua'a,homemaker,volunteer,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,4,weekly,phone call service,0-50 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-05-19,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,0-50 aed,3,25,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0114,55-64,male,Al Ain outskirts,student,survey,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,weekly,mobile app,51-100 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-04-23,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,weekly,51-100 aed,3,75,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0125,65+,prefer not to say,Al Ain outskirts,tourism guide,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,4,monthly,WhatsApp bot,101-250 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-06-07,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,4.0,monthly,101-250 aed,2,175,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0130,55-64,female,Al Ain outskirts,student,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,WhatsApp bot,501-1000 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-04-05,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,501-1000 aed,3,750,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0135,35-44,prefer not to say,Al Wathba,teacher,volunteer,Students in rural areas need tutoring but cannot always travel after school.,hybrid tutoring for rural students,Education & Tutoring,5,weekly,in-person kiosk,251-500 AED,Hybrid tutoring using online sessions plus occasional in-person visits would support students.,2026-04-14,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,weekly,251-500 aed,3,375,Students in rural areas need tutoring but cannot always travel after school.. hybrid tutoring for rural students. Hybrid tutoring using online sessions plus occasional in-person visits would support students.
DEMO_R0151,35-44,male,Al Qua'a,tourism guide,survey,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,5,daily,in-person kiosk,101-250 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-04-14,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,5.0,daily,101-250 aed,4,175,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
DEMO_R0158,18-24,female,Al Qua'a,camel farm owner,volunteer,Some residents need help using digital government services and online forms.,basic digital skills training,Education & Tutoring,3,weekly,phone call service,0-50 AED,"Digital skills workshops would help residents use forms, payments, and government apps.",2026-06-21,DEMO,2026-06-27T10:48:39,synthetic_al_quaa_demo,3.0,weekly,0-50 aed,3,25,"Some residents need help using digital government services and online forms.. basic digital skills training. Digital skills workshops would help residents use forms, payments, and government apps."
