service_category,region,occupation,age_group,response_count,avg_importance,avg_frequency,avg_budget_aed,positive_share,negative_share,neutral_share,top_problem,top_needed_service,top_solution_type,need_score,payment_readiness_score
Market Access,Al Qua'a,date farmer,45-54,2,4.5,3.5,125.0,0.0,0.0,1.0,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,WhatsApp bot,85.0,8.51
Farm Operations,Al Ain outskirts,craft seller,18-24,1,5.0,4.0,750.0,0.0,1.0,0.0,Solar-powered farm equipment needs maintenance but providers are far away.,solar farm equipment repair scheduling,web dashboard,73.0,61.7
Utilities & Maintenance,Al Qua'a,driver,45-54,1,5.0,4.0,175.0,0.0,1.0,0.0,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,WhatsApp bot,73.0,12.77
Tourism & Stargazing,Al Qua'a,camel farm owner,45-54,1,5.0,4.0,1200.0,1.0,0.0,0.0,Tourists ask where to camp safely and how to find local guides.,stargazing visitor information hub,web dashboard,73.0,100.0
Tourism & Stargazing,Al Qua'a,small grocery owner,18-24,1,5.0,4.0,175.0,1.0,0.0,0.0,Visitors come to Al Qua'a for dark skies but local tourism services are informal.,guided stargazing experience booking,WhatsApp bot,73.0,12.77
Utilities & Maintenance,Al Qua'a,mechanic,55-64,1,5.0,4.0,375.0,0.0,1.0,0.0,Home maintenance providers are difficult to find quickly in remote areas.,verified mobile maintenance directory,web dashboard,73.0,29.79
Veterinary & Camel Care,Al Qua'a,livestock supplier,18-24,1,5.0,4.0,75.0,0.0,0.0,1.0,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,volunteer-assisted form,73.0,4.26
Veterinary & Camel Care,Al Qua'a,teacher,55-64,1,5.0,4.0,175.0,0.0,0.0,1.0,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,WhatsApp bot,73.0,12.77
Veterinary & Camel Care,Hatta,student,18-24,1,5.0,4.0,175.0,0.0,0.0,1.0,Camel farms in Al Qua'a struggle to get fast veterinary help when an animal is sick.,same-day mobile camel vet booking,in-person kiosk,73.0,12.77
Veterinary & Camel Care,Hatta,camel farm worker,45-54,1,5.0,4.0,175.0,0.0,0.0,1.0,Livestock medicine is not always easy to access without travelling to Al Ain city.,livestock medicine delivery,phone call service,73.0,12.77
Mobile Healthcare,Al Wathba,teacher,35-44,1,5.0,4.0,75.0,0.0,0.0,1.0,"Clinic visits require long travel, especially for elderly residents and farm workers.",mobile health checkup visits,phone call service,73.0,4.26
Rural Transport,Al Ain outskirts,healthcare worker,55-64,1,5.0,4.0,375.0,0.0,1.0,0.0,Delivery drivers do not consistently serve remote farms.,rural delivery network,mobile app,73.0,29.79
Mobile Healthcare,Al Qua'a,student,65+,1,5.0,4.0,175.0,0.0,0.0,1.0,"Clinic visits require long travel, especially for elderly residents and farm workers.",mobile health checkup visits,phone call service,73.0,12.77
Tourism & Stargazing,Al Qua'a,craft seller,65+,1,5.0,4.0,750.0,1.0,0.0,0.0,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,volunteer-assisted form,73.0,61.7
Market Access,Sweihan,livestock supplier,35-44,1,5.0,4.0,375.0,0.0,0.0,1.0,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,SMS updates,73.0,29.79
Utilities & Maintenance,Al Wathba,driver,18-24,2,4.0,1.5,50.0,0.0,1.0,0.0,Home maintenance providers are difficult to find quickly in remote areas.,connectivity issue reporting dashboard,WhatsApp bot,66.5,2.13
Market Access,Al Qua'a,livestock supplier,45-54,1,5.0,3.0,375.0,0.0,0.0,1.0,Home-based sellers receive orders manually and lose track of demand.,WhatsApp catalog and order helper,WhatsApp bot,66.0,29.79
Education & Tutoring,Al Qua'a,craft seller,25-34,1,5.0,3.0,175.0,0.0,0.0,1.0,Some residents need help using digital government services and online forms.,basic digital skills training,SMS updates,66.0,12.77
Rural Transport,Al Wathba,livestock supplier,18-24,1,5.0,3.0,750.0,0.0,1.0,0.0,Transport to services in Al Ain is difficult for families and workers.,scheduled rural shuttle,WhatsApp bot,66.0,61.7
Tourism & Stargazing,Al Qua'a,home-based food seller,65+,1,5.0,3.0,25.0,1.0,0.0,0.0,Families want to sell food and handmade products to astronomy visitors.,visitor marketplace for stargazing nights,mobile app,66.0,0.0
Education & Tutoring,Sweihan,mechanic,65+,1,5.0,3.0,1200.0,0.0,0.0,1.0,Some residents need help using digital government services and online forms.,basic digital skills training,in-person kiosk,66.0,100.0
