response_id,age_group,gender,region,occupation,source,main_problem,needed_service,service_category,importance_level,current_solution,satisfaction_level,would_pay,monthly_budget,urgency_level,frequency_of_problem,preferred_solution_type,opinion_text,date_collected,importance_key,satisfaction_key,would_pay_key,urgency_key,frequency_key,budget_key,importance_score,satisfaction_score,would_pay_score,urgency_score,frequency_score,budget_midpoint_aed,pain_score,analysis_text
R000016,35-44,Prefer Not To Say,Masfout,Driver,shop_owner_note,Repair services take too long,AC repair service,Repair,High,Wait several days,Neutral,Yes,31-50 AED,Soon,Daily,WhatsApp,It is hard to find someone nearby to repair appliances.,2026-05-24,high,neutral,yes,soon,daily,31-50 aed,5,3,1.0,3,4,40,3,Repair services take too long. AC repair service. Wait several days. It is hard to find someone nearby to repair appliances.
R000021,45-54,Male,Ghayathi,Shop Owner,qr_survey,Hard to find trusted technicians,Local maintenance service,Repair,Low,Wait several days,Satisfied,Maybe,10-30 AED,Soon,Weekly,Phone call,People wait too long for repair workers to come from the city.,2026-04-18,low,satisfied,maybe,soon,weekly,10-30 aed,1,4,0.5,3,3,20,2,Hard to find trusted technicians. Local maintenance service. Wait several days. People wait too long for repair workers to come from the city.
R000025,25-34,Female,Liwa,Tourism Worker,shop_owner_note,Repair services take too long,Home appliance repair,Repair,High,Wait several days,Satisfied,Yes,51-100 AED,Soon,Rarely,Website,It is hard to find someone nearby to repair appliances.,2026-04-20,high,satisfied,yes,soon,rarely,51-100 aed,5,4,1.0,3,1,75,2,Repair services take too long. Home appliance repair. Wait several days. It is hard to find someone nearby to repair appliances.
R000027,25-34,Female,Khor Fakkan Outskirts,Unemployed,voice_note,Repair services take too long,Mobile repair technician,Repair,High,Wait several days,Satisfied,Yes,10-30 AED,Soon,Weekly,Website,Home maintenance is expensive because providers are far away.,2026-05-18,high,satisfied,yes,soon,weekly,10-30 aed,5,4,1.0,3,3,20,2,Repair services take too long. Mobile repair technician. Wait several days. Home maintenance is expensive because providers are far away.
R000037,18-24,Male,Ras Al Khaimah Rural Area,Driver,shop_owner_note,Hard to find trusted technicians,Mobile repair technician,Repair,High,Call city technician,Dissatisfied,Yes,100+ AED,Very urgent,Monthly,Mobile app,Home maintenance is expensive because providers are far away.,2026-05-05,high,dissatisfied,yes,very urgent,monthly,100+ aed,5,2,1.0,5,2,120,4,Hard to find trusted technicians. Mobile repair technician. Call city technician. Home maintenance is expensive because providers are far away.
R000046,55+,Prefer Not To Say,Liwa,Employee,qr_survey,Few repair services,Home appliance repair,Repair,Medium,Wait several days,Dissatisfied,Yes,31-50 AED,Soon,Daily,WhatsApp,People wait too long for repair workers to come from the city.,2026-04-09,medium,dissatisfied,yes,soon,daily,31-50 aed,3,2,1.0,3,4,40,4,Few repair services. Home appliance repair. Wait several days. People wait too long for repair workers to come from the city.
R000049,55+,Female,Hatta,Retired,shop_owner_note,Few repair services,Home appliance repair,Repair,High,Ask neighbors,Dissatisfied,Yes,31-50 AED,Very urgent,Daily,In-person service,It is hard to find someone nearby to repair appliances.,2026-05-03,high,dissatisfied,yes,very urgent,daily,31-50 aed,5,2,1.0,5,4,40,4,Few repair services. Home appliance repair. Ask neighbors. It is hard to find someone nearby to repair appliances.
R000054,35-44,Female,Al Ain Outskirts,Employee,voice_note,Repair services take too long,Local maintenance service,Repair,High,Wait several days,Satisfied,Maybe,51-100 AED,Not urgent,Monthly,WhatsApp,It is hard to find someone nearby to repair appliances.,2026-05-26,high,satisfied,maybe,not urgent,monthly,51-100 aed,5,4,0.5,1,2,75,2,Repair services take too long. Local maintenance service. Wait several days. It is hard to find someone nearby to repair appliances.
R000059,45-54,Female,Ghayathi,Homemaker,voice_note,Hard to find trusted technicians,Home appliance repair,Repair,High,Wait several days,Neutral,Maybe,31-50 AED,Very urgent,Monthly,In-person service,People wait too long for repair workers to come from the city.,2026-06-12,high,neutral,maybe,very urgent,monthly,31-50 aed,5,3,0.5,5,2,40,3,Hard to find trusted technicians. Home appliance repair. Wait several days. People wait too long for repair workers to come from the city.
R000078,45-54,Female,Liwa,Shop Owner,shop_owner_note,No nearby appliance repair,Mobile repair technician,Repair,Medium,Wait several days,Neutral,Yes,51-100 AED,Soon,Weekly,Website,It is hard to find someone nearby to repair appliances.,2026-05-01,medium,neutral,yes,soon,weekly,51-100 aed,3,3,1.0,3,3,75,3,No nearby appliance repair. Mobile repair technician. Wait several days. It is hard to find someone nearby to repair appliances.
R000079,55+,Female,Hatta,Student,interview,No nearby appliance repair,AC repair service,Repair,High,Wait several days,Very dissatisfied,Maybe,100+ AED,Soon,Daily,Delivery service,People wait too long for repair workers to come from the city.,2026-06-19,high,very dissatisfied,maybe,soon,daily,100+ aed,5,1,0.5,3,4,120,5,No nearby appliance repair. AC repair service. Wait several days. People wait too long for repair workers to come from the city.
R000083,45-54,Female,Hatta,Driver,paper_form,Few repair services,Home appliance repair,Repair,Low,Wait several days,Very dissatisfied,No,0 AED,Soon,Daily,Website,Home maintenance is expensive because providers are far away.,2026-04-15,low,very dissatisfied,no,soon,daily,0 aed,1,1,0.0,3,4,0,5,Few repair services. Home appliance repair. Wait several days. Home maintenance is expensive because providers are far away.
R000098,45-54,Male,Dibba,Farmer,interview,Few repair services,AC repair service,Repair,High,Wait several days,Satisfied,Maybe,100+ AED,Soon,Weekly,In-person service,Home maintenance is expensive because providers are far away.,2026-04-18,high,satisfied,maybe,soon,weekly,100+ aed,5,4,0.5,3,3,120,2,Few repair services. AC repair service. Wait several days. Home maintenance is expensive because providers are far away.
R000100,25-34,Male,Khor Fakkan Outskirts,Tourism Worker,qr_survey,Repair services take too long,Local maintenance service,Repair,High,Wait several days,Very satisfied,Maybe,31-50 AED,Soon,Rarely,Website,It is hard to find someone nearby to repair appliances.,2026-06-03,high,very satisfied,maybe,soon,rarely,31-50 aed,5,5,0.5,3,1,40,1,Repair services take too long. Local maintenance service. Wait several days. It is hard to find someone nearby to repair appliances.
